@RELATION evaluation_scores_per_algo_dataset

@ATTRIBUTE train_size REAL
@ATTRIBUTE accuracy_count REAL
@ATTRIBUTE accuracy_mean REAL
@ATTRIBUTE accuracy_std REAL
@ATTRIBUTE accuracy_min REAL
@ATTRIBUTE "accuracy_25%" REAL
@ATTRIBUTE "accuracy_50%" REAL
@ATTRIBUTE "accuracy_75%" REAL
@ATTRIBUTE accuracy_max REAL
@ATTRIBUTE f1_macro_count REAL
@ATTRIBUTE f1_macro_mean REAL
@ATTRIBUTE f1_macro_std REAL
@ATTRIBUTE f1_macro_min REAL
@ATTRIBUTE "f1_macro_25%" REAL
@ATTRIBUTE "f1_macro_50%" REAL
@ATTRIBUTE "f1_macro_75%" REAL
@ATTRIBUTE f1_macro_max REAL
@ATTRIBUTE precision_macro_count REAL
@ATTRIBUTE precision_macro_mean REAL
@ATTRIBUTE precision_macro_std REAL
@ATTRIBUTE precision_macro_min REAL
@ATTRIBUTE "precision_macro_25%" REAL
@ATTRIBUTE "precision_macro_50%" REAL
@ATTRIBUTE "precision_macro_75%" REAL
@ATTRIBUTE precision_macro_max REAL
@ATTRIBUTE recall_macro_count REAL
@ATTRIBUTE recall_macro_mean REAL
@ATTRIBUTE recall_macro_std REAL
@ATTRIBUTE recall_macro_min REAL
@ATTRIBUTE "recall_macro_25%" REAL
@ATTRIBUTE "recall_macro_50%" REAL
@ATTRIBUTE "recall_macro_75%" REAL
@ATTRIBUTE recall_macro_max REAL
@ATTRIBUTE accuracy_mad_count REAL
@ATTRIBUTE accuracy_mad_mean REAL
@ATTRIBUTE accuracy_mad_std REAL
@ATTRIBUTE accuracy_mad_min REAL
@ATTRIBUTE "accuracy_mad_25%" REAL
@ATTRIBUTE "accuracy_mad_50%" REAL
@ATTRIBUTE "accuracy_mad_75%" REAL
@ATTRIBUTE accuracy_mad_max REAL
@ATTRIBUTE f1_macro_mad_count REAL
@ATTRIBUTE f1_macro_mad_mean REAL
@ATTRIBUTE f1_macro_mad_std REAL
@ATTRIBUTE f1_macro_mad_min REAL
@ATTRIBUTE "f1_macro_mad_25%" REAL
@ATTRIBUTE "f1_macro_mad_50%" REAL
@ATTRIBUTE "f1_macro_mad_75%" REAL
@ATTRIBUTE f1_macro_mad_max REAL
@ATTRIBUTE precision_macro_mad_count REAL
@ATTRIBUTE precision_macro_mad_mean REAL
@ATTRIBUTE precision_macro_mad_std REAL
@ATTRIBUTE precision_macro_mad_min REAL
@ATTRIBUTE "precision_macro_mad_25%" REAL
@ATTRIBUTE "precision_macro_mad_50%" REAL
@ATTRIBUTE "precision_macro_mad_75%" REAL
@ATTRIBUTE precision_macro_mad_max REAL
@ATTRIBUTE recall_macro_mad_count REAL
@ATTRIBUTE recall_macro_mad_mean REAL
@ATTRIBUTE recall_macro_mad_std REAL
@ATTRIBUTE recall_macro_mad_min REAL
@ATTRIBUTE "recall_macro_mad_25%" REAL
@ATTRIBUTE "recall_macro_mad_50%" REAL
@ATTRIBUTE "recall_macro_mad_75%" REAL
@ATTRIBUTE recall_macro_mad_max REAL
@ATTRIBUTE dataset_name {d0_speeddating, d10_ringnorm, d11_credit-g, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}

@DATA
0.6,4.0,0.998508353221957,0.0007702830839712676,0.9976133651551312,0.9980608591885443,0.9985083532219571,0.9989558472553699,0.9994033412887828,4.0,0.9972771745991502,0.0014101765121177492,0.9956370982017348,0.996458738532233,0.9972787744435148,0.998097210510432,0.9989140513078361,4.0,0.9991090515785439,0.0004594277418858684,0.9985754985754987,0.9988420214720999,0.9991087978379324,0.9993758279443764,0.9996431120628122,4.0,0.9954710144927537,0.002338758059304006,0.9927536231884058,0.9941123188405797,0.9954710144927537,0.9968297101449275,0.9981884057971014,2.0,0.0005966587112171962,0.000421901420755725,0.0002983293556085842,0.0004474940334128902,0.0005966587112171962,0.0007458233890215021,0.0008949880668258081,2.0,0.0010923161770831358,0.0007723874109239838,0.0005461558011156664,0.0008192359890994011,0.0010923161770831358,0.0013653963650668705,0.0016384765530506051,2.0,0.0003558710719777647,0.00025163904011841955,0.00017793540029875654,0.0002669032361382606,0.0003558710719777647,0.00044483890781726876,0.0005338067436567728,2.0,0.0018115942028985588,0.001280990545627809,0.0009057971014492794,0.001358695652173919,0.0018115942028985588,0.0022644927536231985,0.002717391304347838,d0_speeddating,e0_ExtraTreesClassifier
0.6,4.0,0.9931384248210023,0.0014203318274747295,0.9922434367541766,0.9922434367541766,0.9925417661097852,0.9934367541766109,0.9952267303102625,4.0,0.9873093986458875,0.0026621545516021796,0.9856299304778307,0.9856299304778307,0.9861925533533455,0.9878720215214023,0.9912225573990281,4.0,0.9959273790096888,0.0008376321068645283,0.9953998584571833,0.9953998584571833,0.9955752833362403,0.9961028038887458,0.9971590909090908,4.0,0.9791666666666666,0.00431245678052101,0.9764492753623188,0.9764492753623188,0.9773550724637681,0.980072463768116,0.9855072463768115,2.0,0.0005966587112171962,0.0008438028415114107,0.0,0.0002983293556085981,0.0005966587112171962,0.0008949880668257942,0.0011933174224343923,2.0,0.0011168452925419126,0.0015794577597853198,0.0,0.0005584226462709563,0.0011168452925419126,0.0016752679388128688,0.002233690585083825,2.0,0.00035209567344834936,0.0004979384766435441,0.0,0.00017604783672417468,0.00035209567344834936,0.000528143510172524,0.0007041913468966987,2.0,0.001811594202898531,0.002561981091255579,0.0,0.0009057971014492655,0.001811594202898531,0.0027173913043477965,0.003623188405797062,d0_speeddating,e1_RandomForestClassifier
0.6,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d0_speeddating,e2_DecisionTreeClassifier
0.6,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d0_speeddating,e3_AdaBoostClassifier
0.6,4.0,0.9943317422434367,0.0026904831460756967,0.9904534606205251,0.9935859188544154,0.9952267303102625,0.9959725536992841,0.9964200477326969,4.0,0.9895279717916361,0.005055647848732306,0.9822337177747626,0.9881414646364117,0.9912209062243267,0.992607413379551,0.9934363569431282,4.0,0.9966338133002555,0.0015848469069324788,0.9943502824858756,0.9961922547946414,0.9971593416875876,0.9976009001932018,0.9978662873399715,4.0,0.9827898550724637,0.008168930711635686,0.9710144927536232,0.9805253623188406,0.9855072463768116,0.9877717391304348,0.9891304347826086,2.0,0.0011933174224343646,0.0012657042622670966,0.0002983293556085842,0.0007458233890214744,0.0011933174224343646,0.0016408114558472547,0.002088305489260145,2.0,0.0022455634750754017,0.0023941708349195442,0.0005526290423847335,0.0013990962587300676,0.0022455634750754017,0.0030920306914207357,0.00393849790776607,2.0,0.0007024531518451393,0.0007432093727769714,0.0001769247645131422,0.0004396889581791408,0.0007024531518451393,0.0009652173455111379,0.0012279815391771365,2.0,0.00362318840579709,0.0038429716368834667,0.0009057971014492239,0.002264492753623157,0.00362318840579709,0.004981884057971023,0.006340579710144956,d0_speeddating,e4_GaussianNB
0.6,4.0,0.8186157517899761,0.006536068705312279,0.8114558472553699,0.8141408114558473,0.8186157517899761,0.823090692124105,0.8257756563245824,4.0,0.5437457506470693,0.01359012214029883,0.5293962453311624,0.533829435322009,0.5437526094475135,0.5536689247725739,0.5580815383620881,4.0,0.6045049471752759,0.020475536432278132,0.5802390400604687,0.5964773974465218,0.6037859887241286,0.6118135384528827,0.6302087711923777,4.0,0.541996635610766,0.009388075778126054,0.5328674948240166,0.5345910973084886,0.5416330227743271,0.5490385610766045,0.5518530020703933,2.0,0.0017899761336515607,0.0,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,2.0,0.011394045322009244,9.699808609693772e-06,0.011387186521565118,0.011390615921787181,0.011394045322009244,0.011397474722231307,0.01140090412245337,2.0,0.013440335524105146,0.001016760792395274,0.01272137707295784,0.013080856298531493,0.013440335524105146,0.013799814749678799,0.014159293975252452,2.0,0.007980072463768084,0.0005142262047448865,0.007616459627329153,0.007798266045548619,0.007980072463768084,0.00816187888198755,0.008343685300207015,d0_speeddating,e5_KNeighborsClassifier
0.6,4.0,0.8342780429594272,0.0008949880668258143,0.8335322195704057,0.8335322195704057,0.834128878281623,0.8348747016706444,0.8353221957040573,4.0,0.4635684600026849,0.004535169409084514,0.4581337758459055,0.4611991805686192,0.46363155571543174,0.4660008351494974,0.46887695273397056,4.0,0.6027994317633485,0.06647094000952124,0.5177139437462597,0.5680157684800562,0.6127107911750983,0.6474944544583906,0.6680622009569378,4.0,0.5030111283643892,0.002081382048960373,0.5003830227743271,0.5022774327122153,0.5031004140786749,0.5038341097308487,0.50546066252588,2.0,0.000745823389021516,0.00021095071037784287,0.0005966587112172239,0.00067124105011937,0.000745823389021516,0.0008204057279236621,0.0008949880668258081,2.0,0.0019805074357289593,8.923081269420731e-05,0.0019174117229820986,0.001948959579355529,0.0019805074357289593,0.0020120552921023896,0.00204360314847582,2.0,0.05155093819455783,0.03340823626544886,0.027927747783776602,0.03973934298916722,0.05155093819455783,0.06336253339994845,0.07517412860533906,2.0,0.0011736542443064324,0.0001262690680689788,0.0010843685300207517,0.001129011387163592,0.0011736542443064324,0.0012182971014492727,0.001262939958592113,d0_speeddating,e6_SVC
0.6,4.0,0.7750596658711219,0.006661946787766184,0.766109785202864,0.7719272076372314,0.7768496420047732,0.7799821002386634,0.7804295942720764,4.0,0.5834274962976983,0.016728504552678974,0.5620754012691302,0.5744120355511264,0.5861748256650894,0.5951902864116612,0.5992849325914844,4.0,0.5849813467761871,0.01604428871302471,0.5641835387323944,0.5765808121905032,0.5881557856487685,0.5965563202344524,0.5994302770748168,4.0,0.5821027432712216,0.01726385547492544,0.5603830227743272,0.5725918737060042,0.5844435817805382,0.5939544513457558,0.5991407867494825,2.0,0.0050715990453460424,0.002953309945289879,0.0029832935560858975,0.00402744630071597,0.0050715990453460424,0.006115751789976115,0.007159904534606187,2.0,0.013127672173903954,0.0038853104516702467,0.010380342806512954,0.011754007490208454,0.013127672173903954,0.014501336857599453,0.015875001541294953,2.0,0.01253295907172014,0.004489334506529049,0.009358520199138687,0.010945739635429413,0.01253295907172014,0.014120178508010867,0.015707397944301593,2.0,0.013580486542443065,0.0033104455672009515,0.011239648033126326,0.012410067287784696,0.013580486542443065,0.014750905797101435,0.015921325051759805,d0_speeddating,e7_GaussianProcessClassifier
0.6,4.0,0.9997016706443915,0.00034448106753556736,0.9994033412887828,0.9994033412887828,0.9997016706443914,1.0,1.0,4.0,0.9994570256539181,0.0006269727697469731,0.9989140513078361,0.9989140513078361,0.999457025653918,1.0,1.0,4.0,0.9998215560314061,0.00020604934660590644,0.9996431120628122,0.9996431120628122,0.9998215560314061,1.0,1.0,4.0,0.9990942028985508,0.0010459244007058484,0.9981884057971014,0.9981884057971014,0.9990942028985508,1.0,1.0,2.0,0.0002983293556085842,0.0,0.0002983293556085842,0.0002983293556085842,0.0002983293556085842,0.0002983293556085842,0.0002983293556085842,2.0,0.0005429743460819703,0.0,0.0005429743460819703,0.0005429743460819703,0.0005429743460819703,0.0005429743460819703,0.0005429743460819703,2.0,0.00017844396859389988,0.0,0.00017844396859389988,0.00017844396859389988,0.00017844396859389988,0.00017844396859389988,0.00017844396859389988,2.0,0.0009057971014492794,0.0,0.0009057971014492794,0.0009057971014492794,0.0009057971014492794,0.0009057971014492794,0.0009057971014492794,d0_speeddating,e8_MLPClassifier
0.6,4.0,0.8445704057279237,0.012232716240796974,0.8323389021479713,0.8350238663484487,0.8445704057279236,0.8541169451073987,0.8568019093078759,4.0,0.7039572025447609,0.03151576810920205,0.6755945062204193,0.6776818346424879,0.7017787909938924,0.7280541588961654,0.7366767219708396,4.0,0.7140078639786189,0.025698851215354514,0.6888168677189304,0.6936047422806506,0.7138332947761988,0.7342364164741673,0.7395479986431479,4.0,0.6960688405797102,0.03547831308948884,0.6654761904761904,0.6659924948240166,0.6924327122153209,0.7225090579710145,0.7339337474120082,2.0,0.0017899761336515607,0.0,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,0.0017899761336515607,2.0,0.0035699638322475857,0.003080739159668492,0.0013915522813790493,0.0024807580568133175,0.0035699638322475857,0.004659169607681854,0.005748375383116122,2.0,0.00336648557690028,0.0002468781336352296,0.0031919163744801304,0.003279200975690205,0.00336648557690028,0.0034537701781103547,0.0035410547793204294,2.0,0.003980331262939951,0.005142262047448708,0.0003442028985507495,0.0021622670807453503,0.003980331262939951,0.005798395445134552,0.007616459627329153,d0_speeddating,e9_Perceptron
