@RELATION evaluation_scores_per_repetition

@ATTRIBUTE train_size REAL
@ATTRIBUTE accuracy_mad REAL
@ATTRIBUTE f1_macro_mad REAL
@ATTRIBUTE precision_macro_mad REAL
@ATTRIBUTE recall_macro_mad REAL
@ATTRIBUTE dataset_name {d0_speeddating, d10_ringnorm, d11_credit-g, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}

@DATA
0.6,0.003716216216216206,0.003250654070835579,0.005257684814196084,0.0036686080383379616,d10_ringnorm,e9_Perceptron,r1
0.6,0.012500000000000011,0.02192567685895408,0.021545145004109423,0.018452380952380942,d11_credit-g,e0_ExtraTreesClassifier,r0
0.6,0.012500000000000011,0.013258246093325154,0.02279439642518366,0.011309523809523825,d11_credit-g,e0_ExtraTreesClassifier,r1
0.6,0.025000000000000022,0.04248918866133761,0.04049732360408426,0.03690476190476194,d11_credit-g,e1_RandomForestClassifier,r0
0.6,0.017500000000000016,0.02672082570782991,0.03423958815226025,0.0220238095238095,d11_credit-g,e1_RandomForestClassifier,r1
0.6,0.02749999999999997,0.016335367320916228,0.018777777777777727,0.010119047619047583,d11_credit-g,e2_DecisionTreeClassifier,r0
0.6,0.019999999999999962,0.024283632831471613,0.024801587301587324,0.023809523809523836,d11_credit-g,e2_DecisionTreeClassifier,r1
0.6,0.02250000000000002,0.03930003758379047,0.03307611928301579,0.039880952380952406,d11_credit-g,e3_AdaBoostClassifier,r0
0.6,0.012500000000000011,0.015123926129454068,0.017943409247757114,0.013690476190476197,d11_credit-g,e3_AdaBoostClassifier,r1
0.6,0.03250000000000003,0.048044660028013775,0.0410753705455692,0.05178571428571427,d11_credit-g,e4_GaussianNB,r0
0.6,0.0025000000000000022,0.005623585610728732,0.004194445670890556,0.00654761904761908,d11_credit-g,e4_GaussianNB,r1
0.6,0.020000000000000018,0.04380214084161452,0.05201721452430469,0.033333333333333326,d11_credit-g,e5_KNeighborsClassifier,r0
0.6,0.02250000000000002,0.030164427909495195,0.041818712596701224,0.025595238095238088,d11_credit-g,e5_KNeighborsClassifier,r1
0.6,0.0,0.0,0.0,0.0,d11_credit-g,e6_SVC,r0
0.6,0.0,0.0,0.0,0.0,d11_credit-g,e6_SVC,r1
0.6,0.02250000000000002,0.048606916339474504,0.050086517477821835,0.04226190476190478,d11_credit-g,e7_GaussianProcessClassifier,r0
0.6,0.030000000000000027,0.027336377473363815,0.034950657894736836,0.02619047619047621,d11_credit-g,e7_GaussianProcessClassifier,r1
