accuracy,f1_macro,precision_macro,recall_macro,dataset_name,estimator_name,repetition,split
d0_speeddating,e8_MLPClassifier,r1,test1,0.855,0.6221744511758192,0.7520442520442521,0.5974702380952381
d0_speeddating,e9_Perceptron,r0,train,0.475,0.45639512308767566,0.5869309262166404,0.6452726937345002
d0_speeddating,e9_Perceptron,r0,test0,0.485,0.4687298517085751,0.6090786668162944,0.6808035714285714
d0_speeddating,e9_Perceptron,r0,test1,0.43,0.42167207792207795,0.5908477487424856,0.6343676283796045
d0_speeddating,e9_Perceptron,r1,train,0.8383333333333334,0.4560290117860381,0.4191666666666667,0.5
d0_speeddating,e9_Perceptron,r1,test0,0.835,0.4550408719346049,0.4175,0.5
d0_speeddating,e9_Perceptron,r1,test1,0.84,0.4565217391304348,0.42,0.5
d1_mammography,e0_ExtraTreesClassifier,r0,train,1.0,1.0,1.0,1.0
d1_mammography,e0_ExtraTreesClassifier,r0,test0,0.995,0.9272991639403854,0.9974619289340101,0.875
d1_mammography,e0_ExtraTreesClassifier,r0,test1,1.0,1.0,1.0,1.0
d1_mammography,e0_ExtraTreesClassifier,r1,train,1.0,1.0,1.0,1.0
d1_mammography,e0_ExtraTreesClassifier,r1,test0,0.99,0.8307952622673435,0.994949494949495,0.75
d1_mammography,e0_ExtraTreesClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e1_RandomForestClassifier,r0,train,1.0,1.0,1.0,1.0
d1_mammography,e1_RandomForestClassifier,r0,test0,0.985,0.8294970161977833,0.7974358974358975,0.8698979591836735
d1_mammography,e1_RandomForestClassifier,r0,test1,0.995,0.9431656720659278,0.9,0.9974489795918368
d1_mammography,e1_RandomForestClassifier,r1,train,1.0,1.0,1.0,1.0
d1_mammography,e1_RandomForestClassifier,r1,test0,0.985,0.6962025316455697,0.992462311557789,0.625
d1_mammography,e1_RandomForestClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e2_DecisionTreeClassifier,r0,train,1.0,1.0,1.0,1.0
d1_mammography,e2_DecisionTreeClassifier,r0,test0,0.95,0.570446735395189,0.5546875,0.6071428571428572
d1_mammography,e2_DecisionTreeClassifier,r0,test1,0.99,0.8974358974358974,0.8333333333333333,0.9948979591836735
d1_mammography,e2_DecisionTreeClassifier,r1,train,1.0,1.0,1.0,1.0
d1_mammography,e2_DecisionTreeClassifier,r1,test0,0.975,0.7158283603296391,0.6948717948717948,0.7423469387755102
d1_mammography,e2_DecisionTreeClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e3_AdaBoostClassifier,r0,train,1.0,1.0,1.0,1.0
d1_mammography,e3_AdaBoostClassifier,r0,test0,0.985,0.781897491821156,0.8282571912013537,0.7474489795918368
d1_mammography,e3_AdaBoostClassifier,r0,test1,0.995,0.9272991639403854,0.9974619289340101,0.875
d1_mammography,e3_AdaBoostClassifier,r1,train,1.0,1.0,1.0,1.0
d1_mammography,e3_AdaBoostClassifier,r1,test0,0.975,0.4936708860759494,0.4899497487437186,0.49744897959183676
d1_mammography,e3_AdaBoostClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e4_GaussianNB,r0,train,0.9516666666666667,0.7030666052321712,0.6429574826746582,0.9000786266544358
d1_mammography,e4_GaussianNB,r0,test0,0.935,0.6408343693880371,0.5972972972972973,0.8443877551020409
