@RELATION evaluation_scores

@ATTRIBUTE train_size REAL
@ATTRIBUTE accuracy REAL
@ATTRIBUTE f1_macro REAL
@ATTRIBUTE precision_macro REAL
@ATTRIBUTE recall_macro REAL
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,0.8347255369928401,0.46887695273397056,0.6406385389588749,0.50546066252588,d0_speeddating,e6_SVC,r1,test0
0.6,0.8335322195704057,0.46504212928800637,0.5847830433913217,0.5032919254658385,d0_speeddating,e6_SVC,r1,test1
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e7_GaussianProcessClassifier,r0,train
0.6,0.7804295942720764,0.5938254043517202,0.5955983346209975,0.5922256728778468,d0_speeddating,e7_GaussianProcessClassifier,r0,test0
0.6,0.766109785202864,0.5620754012691302,0.5641835387323944,0.5603830227743272,d0_speeddating,e7_GaussianProcessClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e7_GaussianProcessClassifier,r1,train
0.6,0.7738663484486874,0.5785242469784585,0.5807132366765394,0.5766614906832298,d0_speeddating,e7_GaussianProcessClassifier,r1,test0
0.6,0.7798329355608592,0.5992849325914844,0.5994302770748168,0.5991407867494825,d0_speeddating,e7_GaussianProcessClassifier,r1,test1
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e8_MLPClassifier,r0,train
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e8_MLPClassifier,r0,test0
0.6,0.9994033412887828,0.9989140513078361,0.9996431120628122,0.9981884057971014,d0_speeddating,e8_MLPClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e8_MLPClassifier,r1,train
0.6,1.0,1.0,1.0,1.0,d0_speeddating,e8_MLPClassifier,r1,test0
0.6,0.9994033412887828,0.9989140513078361,0.9996431120628122,0.9981884057971014,d0_speeddating,e8_MLPClassifier,r1,test1
0.6,0.841424592120971,0.6980984838532904,0.7086915027022228,0.6893554671766864,d0_speeddating,e9_Perceptron,r0,train
0.6,0.8323389021479713,0.6755945062204193,0.6888168677189304,0.6654761904761904,d0_speeddating,e9_Perceptron,r0,test0
0.6,0.8359188544152745,0.6783776107831774,0.6952007004678906,0.6661645962732919,d0_speeddating,e9_Perceptron,r0,test1
0.6,0.8658973338639077,0.753237285345276,0.7565750632887478,0.7500575383262791,d0_speeddating,e9_Perceptron,r1,train
0.6,0.8532219570405728,0.7251799712046073,0.732465889084507,0.7187008281573499,d0_speeddating,e9_Perceptron,r1,test0
0.6,0.8568019093078759,0.7366767219708396,0.7395479986431479,0.7339337474120082,d0_speeddating,e9_Perceptron,r1,test1
0.6,0.9994037859591594,0.9933539382051967,0.9996949824614916,0.9871794871794872,d1_mammography,e0_ExtraTreesClassifier,r0,train
0.6,0.9843540455967814,0.7901304062294774,0.8726626519276247,0.7385539517690547,d1_mammography,e0_ExtraTreesClassifier,r0,test0
0.6,0.9874832364774251,0.830144267274108,0.9320578231292518,0.7683154374229889,d1_mammography,e0_ExtraTreesClassifier,r0,test1
0.6,0.9992547324489491,0.9916659979423996,0.9996187862153095,0.983974358974359,d1_mammography,e0_ExtraTreesClassifier,r1,train
0.6,0.9879302637460885,0.8302602625388876,0.9598560094952524,0.7591577187114944,d1_mammography,e0_ExtraTreesClassifier,r1,test0
0.6,0.983907018328118,0.7709035047792444,0.8860667399599043,0.710165463826791,d1_mammography,e0_ExtraTreesClassifier,r1,test1
0.6,0.9994037859591594,0.9933539382051967,0.9996949824614916,0.9871794871794872,d1_mammography,e1_RandomForestClassifier,r0,train
0.6,0.9856951274027715,0.8012350615309431,0.9105497658963904,0.73924045062489,d1_mammography,e1_RandomForestClassifier,r0,test0
0.6,0.9879302637460885,0.8417503124435046,0.9235759698974957,0.7873173737018131,d1_mammography,e1_RandomForestClassifier,r0,test1
0.6,0.9992547324489491,0.9916659979423996,0.9996187862153095,0.983974358974359,d1_mammography,e1_RandomForestClassifier,r1,train
0.6,0.9870362092087618,0.8131564925620312,0.9568543656778952,0.7399269494807252,d1_mammography,e1_RandomForestClassifier,r1,test0
0.6,0.983907018328118,0.7763894442223109,0.8767633288022958,0.7195520154902306,d1_mammography,e1_RandomForestClassifier,r1,test1
0.6,0.9994037859591594,0.9933539382051967,0.9996949824614916,0.9871794871794872,d1_mammography,e2_DecisionTreeClassifier,r0,train
0.6,0.9807778274474743,0.758830947742652,0.8013228809407154,0.7273367364900546,d1_mammography,e2_DecisionTreeClassifier,r0,test0
0.6,0.9848010728654448,0.8190336150449216,0.8474847655764208,0.795102094701637,d1_mammography,e2_DecisionTreeClassifier,r0,test1
0.6,0.9992547324489491,0.9916659979423996,0.9996187862153095,0.983974358974359,d1_mammography,e2_DecisionTreeClassifier,r1,train
0.6,0.9834599910594546,0.7924824434064679,0.8404668579827815,0.7568693891920437,d1_mammography,e2_DecisionTreeClassifier,r1,test0
0.6,0.981671881984801,0.7700481129639241,0.8143708732880708,0.7371809540573843,d1_mammography,e2_DecisionTreeClassifier,r1,test1
0.6,0.9871813981219257,0.8326093919356448,0.9099451650050434,0.7806778652955977,d1_mammography,e3_AdaBoostClassifier,r0,train
0.6,0.983907018328118,0.7865955777914397,0.8615190515607061,0.7383251188171097,d1_mammography,e3_AdaBoostClassifier,r0,test0
0.6,0.9830129637907913,0.7891423411981823,0.8318104233045062,0.7566405562400986,d1_mammography,e3_AdaBoostClassifier,r0,test1
0.6,0.9867342375912953,0.8274157348837277,0.9013163668896709,0.7773201352287267,d1_mammography,e3_AdaBoostClassifier,r1,train
0.6,0.9843540455967814,0.7851712017736169,0.8807504459977189,0.7291674001056152,d1_mammography,e3_AdaBoostClassifier,r1,test0
0.6,0.9834599910594546,0.7924824434064679,0.8404668579827815,0.7568693891920437,d1_mammography,e3_AdaBoostClassifier,r1,test1
0.6,0.9572216425696826,0.7155365960857313,0.6583286313935695,0.8623350236924172,d1_mammography,e4_GaussianNB,r0,train
0.6,0.9544032185963344,0.6845846327383717,0.6377623599798403,0.7983145572962507,d1_mammography,e4_GaussianNB,r0,test0
0.6,0.9494859186410372,0.6814213607405495,0.6315360644958403,0.8239570498151734,d1_mammography,e4_GaussianNB,r0,test1
0.6,0.9569235355492622,0.7093022192362999,0.6545866082976819,0.8465382854593902,d1_mammography,e4_GaussianNB,r1,train
0.6,0.9628967367009388,0.7260556325237655,0.6726726525507013,0.8402085900369654,d1_mammography,e4_GaussianNB,r1,test0
0.6,0.9476978095663835,0.6701442407667635,0.6235419823322566,0.804268614680514,d1_mammography,e4_GaussianNB,r1,test1
0.6,0.9898643613057088,0.8676446354839982,0.953079503598993,0.8102107275195938,d1_mammography,e5_KNeighborsClassifier,r0,train
0.6,0.9843540455967814,0.7901304062294774,0.8726626519276247,0.7385539517690547,d1_mammography,e5_KNeighborsClassifier,r0,test0
0.6,0.9879302637460885,0.848568269512828,0.9057068197195586,0.8060904770286921,d1_mammography,e5_KNeighborsClassifier,r0,test1
0.6,0.9903115218363392,0.8801983045869887,0.9342217505406776,0.8385990757805194,d1_mammography,e5_KNeighborsClassifier,r1,train
0.6,0.9852481001341081,0.787384974294725,0.9193648399530753,0.7202385143460659,d1_mammography,e5_KNeighborsClassifier,r1,test0
0.6,0.9821189092534645,0.7573489532487254,0.8369472789115646,0.7092501320190108,d1_mammography,e5_KNeighborsClassifier,r1,test1
0.6,0.9870323446117156,0.8219979927302802,0.929815793579592,0.7586997734449283,d1_mammography,e6_SVC,r0,train
0.6,0.986142154671435,0.8141155026603943,0.903419402738822,0.7582423869037141,d1_mammography,e6_SVC,r0,test0
0.6,0.9852481001341081,0.7974471331008388,0.8971061328342058,0.7390116176729449,d1_mammography,e6_SVC,r0,test1
0.6,0.9868832911015054,0.8220548840327058,0.921488293260749,0.7617522997883138,d1_mammography,e6_SVC,r1,train
0.6,0.9865891819400984,0.804280114789669,0.9552064850572313,0.7303115648653407,d1_mammography,e6_SVC,r1,test0
0.6,0.9807778274474743,0.7296737514508209,0.8201133808095952,0.6804039781728569,d1_mammography,e6_SVC,r1,test1
0.6,0.9880757191831868,0.8442878064517627,0.9243232778696933,0.7905221527035964,d1_mammography,e7_GaussianProcessClassifier,r0,train
0.6,0.9865891819400984,0.8221629814928664,0.9063175883153988,0.7678577715190987,d1_mammography,e7_GaussianProcessClassifier,r0,test0
0.6,0.9848010728654448,0.8072333738848337,0.8629640267107058,0.7669424397113185,d1_mammography,e7_GaussianProcessClassifier,r0,test1
0.6,0.9885228797138172,0.8472692429022548,0.9405506077242107,0.7876222282219535,d1_mammography,e7_GaussianProcessClassifier,r1,train
0.6,0.9865891819400984,0.8090862539827037,0.9403172088210567,0.7396981165287801,d1_mammography,e7_GaussianProcessClassifier,r1,test0
0.6,0.9812248547161377,0.7452164009111618,0.8210955215419501,0.6994059144516811,d1_mammography,e7_GaussianProcessClassifier,r1,test1
0.6,0.9862870770606648,0.8168175904117916,0.9044015736117416,0.7614470960648284,d1_mammography,e8_MLPClassifier,r0,train
0.6,0.9848010728654448,0.7888122528766272,0.893656547349343,0.7293962330575603,d1_mammography,e8_MLPClassifier,r0,test0
0.6,0.9843540455967814,0.7993799085236954,0.8591830466830467,0.7573270550959339,d1_mammography,e8_MLPClassifier,r0,test1
0.6,0.9859889700402444,0.8038094159633854,0.9200194628660873,0.7393927032832878,d1_mammography,e8_MLPClassifier,r1,train
0.6,0.9870362092087618,0.8176869486528793,0.9423881809095452,0.7493135011441647,d1_mammography,e8_MLPClassifier,r1,test0
0.6,0.9825659365221279,0.742318404815562,0.8725406871609404,0.6813193099806372,d1_mammography,e8_MLPClassifier,r1,test1
0.6,0.9758533313459532,0.7932808841050081,0.7412430538566386,0.8781302945998506,d1_mammography,e9_Perceptron,r0,train
0.6,0.9745194456861869,0.7654467693722695,0.728717747448915,0.8179985917972188,d1_mammography,e9_Perceptron,r0,test0
0.6,0.970049172999553,0.7546799835666573,0.704373548427594,0.8438699172680866,d1_mammography,e9_Perceptron,r0,test1
0.6,0.9847965419585631,0.7921269744835966,0.8874189865071325,0.73565346856206,d1_mammography,e9_Perceptron,r1,train
0.6,0.983907018328118,0.7763894442223109,0.8767633288022958,0.7195520154902306,d1_mammography,e9_Perceptron,r1,test0
0.6,0.9789897183728208,0.7115156138102855,0.7826163249787969,0.670102094701637,d1_mammography,e9_Perceptron,r1,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e0_ExtraTreesClassifier,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e0_ExtraTreesClassifier,r0,test0
0.6,0.9,0.8976982097186701,0.923076923076923,0.9,d2_iris,e0_ExtraTreesClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e0_ExtraTreesClassifier,r1,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e0_ExtraTreesClassifier,r1,test0
0.6,0.9,0.899749373433584,0.9023569023569024,0.9,d2_iris,e0_ExtraTreesClassifier,r1,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e1_RandomForestClassifier,r0,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e1_RandomForestClassifier,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e1_RandomForestClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e1_RandomForestClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e1_RandomForestClassifier,r1,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e1_RandomForestClassifier,r1,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e2_DecisionTreeClassifier,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e2_DecisionTreeClassifier,r0,test0
0.6,0.9,0.899749373433584,0.9023569023569024,0.9,d2_iris,e2_DecisionTreeClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e2_DecisionTreeClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e2_DecisionTreeClassifier,r1,test0
0.6,0.8666666666666667,0.8666666666666668,0.8666666666666667,0.8666666666666667,d2_iris,e2_DecisionTreeClassifier,r1,test1
0.6,0.9777777777777777,0.9777530589543938,0.9791666666666666,0.9777777777777779,d2_iris,e3_AdaBoostClassifier,r0,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e3_AdaBoostClassifier,r0,test0
0.6,0.9,0.899749373433584,0.9023569023569024,0.9,d2_iris,e3_AdaBoostClassifier,r0,test1
0.6,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889,d2_iris,e3_AdaBoostClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e3_AdaBoostClassifier,r1,test0
0.6,0.8666666666666667,0.8653198653198654,0.875,0.8666666666666666,d2_iris,e3_AdaBoostClassifier,r1,test1
0.6,0.9444444444444444,0.944429008057794,0.9447534297367445,0.9444444444444445,d2_iris,e4_GaussianNB,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e4_GaussianNB,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e4_GaussianNB,r0,test1
0.6,0.9666666666666667,0.9666574048346764,0.9670003707823508,0.9666666666666668,d2_iris,e4_GaussianNB,r1,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e4_GaussianNB,r1,test0
0.6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,d2_iris,e4_GaussianNB,r1,test1
0.6,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779,d2_iris,e5_KNeighborsClassifier,r0,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e5_KNeighborsClassifier,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e5_KNeighborsClassifier,r0,test1
0.6,0.9888888888888889,0.9888858016115587,0.989247311827957,0.9888888888888889,d2_iris,e5_KNeighborsClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e5_KNeighborsClassifier,r1,test0
0.6,0.8666666666666667,0.8653198653198654,0.875,0.8666666666666666,d2_iris,e5_KNeighborsClassifier,r1,test1
0.6,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889,d2_iris,e6_SVC,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e6_SVC,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e6_SVC,r0,test1
0.6,1.0,1.0,1.0,1.0,d2_iris,e6_SVC,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e6_SVC,r1,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e6_SVC,r1,test1
0.6,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779,d2_iris,e7_GaussianProcessClassifier,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e7_GaussianProcessClassifier,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e7_GaussianProcessClassifier,r0,test1
0.6,0.9555555555555556,0.9555061179087875,0.9568452380952381,0.9555555555555556,d2_iris,e7_GaussianProcessClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e7_GaussianProcessClassifier,r1,test0
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e7_GaussianProcessClassifier,r1,test1
0.6,0.9777777777777777,0.9777530589543938,0.9791666666666666,0.9777777777777779,d2_iris,e8_MLPClassifier,r0,train
0.6,1.0,1.0,1.0,1.0,d2_iris,e8_MLPClassifier,r0,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e8_MLPClassifier,r0,test1
0.6,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889,d2_iris,e8_MLPClassifier,r1,train
0.6,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667,d2_iris,e8_MLPClassifier,r1,test0
0.6,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332,d2_iris,e8_MLPClassifier,r1,test1
0.6,0.6666666666666666,0.5348546978070957,0.44798407167745147,0.6666666666666666,d2_iris,e9_Perceptron,r0,train
0.6,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,d2_iris,e9_Perceptron,r0,test0
0.6,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,d2_iris,e9_Perceptron,r0,test1
0.6,0.34444444444444444,0.1895726032348423,0.44569288389513106,0.3444444444444445,d2_iris,e9_Perceptron,r1,train
0.6,0.36666666666666664,0.23154623154623155,0.4482758620689655,0.3666666666666667,d2_iris,e9_Perceptron,r1,test0
0.6,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3333333333333333,d2_iris,e9_Perceptron,r1,test1
0.6,1.0,1.0,1.0,1.0,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,train
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test0
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,train
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test0
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test1
0.6,1.0,1.0,1.0,1.0,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,train
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test0
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test1
0.6,1.0,1.0,1.0,1.0,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,train
0.6,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test0
