fit_time,pred_time,dataset_name,estimator_name,repetition,split
d0_speeddating,e8_MLPClassifier,r0,test1,0 days 00:00:01.308995000,0 days 00:00:00.008896000
d0_speeddating,e8_MLPClassifier,r1,train,0 days 00:00:00.169496000,0 days 00:00:00.001345000
d0_speeddating,e8_MLPClassifier,r1,test0,0 days 00:00:00.169496000,0 days 00:00:00.000729000
d0_speeddating,e8_MLPClassifier,r1,test1,0 days 00:00:00.169496000,0 days 00:00:00.000702000
d0_speeddating,e9_Perceptron,r0,train,0 days 00:00:00.001971000,0 days 00:00:00.000385000
d0_speeddating,e9_Perceptron,r0,test0,0 days 00:00:00.001971000,0 days 00:00:00.000331000
d0_speeddating,e9_Perceptron,r0,test1,0 days 00:00:00.001971000,0 days 00:00:00.000346000
d0_speeddating,e9_Perceptron,r1,train,0 days 00:00:00.001490000,0 days 00:00:00.000347000
d0_speeddating,e9_Perceptron,r1,test0,0 days 00:00:00.001490000,0 days 00:00:00.000310000
d0_speeddating,e9_Perceptron,r1,test1,0 days 00:00:00.001490000,0 days 00:00:00.000367000
d1_mammography,e0_ExtraTreesClassifier,r0,train,0 days 00:00:00.475060000,0 days 00:00:00.050627000
d1_mammography,e0_ExtraTreesClassifier,r0,test0,0 days 00:00:00.475060000,0 days 00:00:00.038660000
d1_mammography,e0_ExtraTreesClassifier,r0,test1,0 days 00:00:00.475060000,0 days 00:00:00.041413000
d1_mammography,e0_ExtraTreesClassifier,r1,train,0 days 00:00:00.604037000,0 days 00:00:00.064773000
d1_mammography,e0_ExtraTreesClassifier,r1,test0,0 days 00:00:00.604037000,0 days 00:00:00.039736000
d1_mammography,e0_ExtraTreesClassifier,r1,test1,0 days 00:00:00.604037000,0 days 00:00:00.037210000
d1_mammography,e1_RandomForestClassifier,r0,train,0 days 00:00:00.575744000,0 days 00:00:00.042451000
d1_mammography,e1_RandomForestClassifier,r0,test0,0 days 00:00:00.575744000,0 days 00:00:00.034877000
d1_mammography,e1_RandomForestClassifier,r0,test1,0 days 00:00:00.575744000,0 days 00:00:00.034961000
d1_mammography,e1_RandomForestClassifier,r1,train,0 days 00:00:00.552697000,0 days 00:00:00.042342000
d1_mammography,e1_RandomForestClassifier,r1,test0,0 days 00:00:00.552697000,0 days 00:00:00.034060000
d1_mammography,e1_RandomForestClassifier,r1,test1,0 days 00:00:00.552697000,0 days 00:00:00.034078000
d1_mammography,e2_DecisionTreeClassifier,r0,train,0 days 00:00:00.001351000,0 days 00:00:00.000140000
d1_mammography,e2_DecisionTreeClassifier,r0,test0,0 days 00:00:00.001351000,0 days 00:00:00.000171000
d1_mammography,e2_DecisionTreeClassifier,r0,test1,0 days 00:00:00.001351000,0 days 00:00:00.000180000
d1_mammography,e2_DecisionTreeClassifier,r1,train,0 days 00:00:00.001560000,0 days 00:00:00.000145000
d1_mammography,e2_DecisionTreeClassifier,r1,test0,0 days 00:00:00.001560000,0 days 00:00:00.000146000
d1_mammography,e2_DecisionTreeClassifier,r1,test1,0 days 00:00:00.001560000,0 days 00:00:00.000190000
d1_mammography,e3_AdaBoostClassifier,r0,train,0 days 00:00:00.091182000,0 days 00:00:00.007250000
d1_mammography,e3_AdaBoostClassifier,r0,test0,0 days 00:00:00.091182000,0 days 00:00:00.005048000
d1_mammography,e3_AdaBoostClassifier,r0,test1,0 days 00:00:00.091182000,0 days 00:00:00.005006000
d1_mammography,e3_AdaBoostClassifier,r1,train,0 days 00:00:00.089652000,0 days 00:00:00.007317000
d1_mammography,e3_AdaBoostClassifier,r1,test0,0 days 00:00:00.089652000,0 days 00:00:00.005650000
d1_mammography,e3_AdaBoostClassifier,r1,test1,0 days 00:00:00.089652000,0 days 00:00:00.005010000
d1_mammography,e4_GaussianNB,r0,train,0 days 00:00:00.001205000,0 days 00:00:00.000241000
d1_mammography,e4_GaussianNB,r0,test0,0 days 00:00:00.001205000,0 days 00:00:00.000225000
d1_mammography,e4_GaussianNB,r0,test1,0 days 00:00:00.001205000,0 days 00:00:00.000280000
d1_mammography,e4_GaussianNB,r1,train,0 days 00:00:00.001190000,0 days 00:00:00.000222000
d1_mammography,e4_GaussianNB,r1,test0,0 days 00:00:00.001190000,0 days 00:00:00.000251000
d1_mammography,e4_GaussianNB,r1,test1,0 days 00:00:00.001190000,0 days 00:00:00.000213000
d1_mammography,e5_KNeighborsClassifier,r0,train,0 days 00:00:00.001065000,0 days 00:00:00.002964000
d1_mammography,e5_KNeighborsClassifier,r0,test0,0 days 00:00:00.001065000,0 days 00:00:00.001316000
d1_mammography,e5_KNeighborsClassifier,r0,test1,0 days 00:00:00.001065000,0 days 00:00:00.001349000
d1_mammography,e5_KNeighborsClassifier,r1,train,0 days 00:00:00.001074000,0 days 00:00:00.002814000
d1_mammography,e5_KNeighborsClassifier,r1,test0,0 days 00:00:00.001074000,0 days 00:00:00.001411000
d1_mammography,e5_KNeighborsClassifier,r1,test1,0 days 00:00:00.001074000,0 days 00:00:00.001598000
d1_mammography,e6_SVC,r0,train,0 days 00:00:00.002771000,0 days 00:00:00.001244000
d1_mammography,e6_SVC,r0,test0,0 days 00:00:00.002771000,0 days 00:00:00.000511000
d1_mammography,e6_SVC,r0,test1,0 days 00:00:00.002771000,0 days 00:00:00.000524000
d1_mammography,e6_SVC,r1,train,0 days 00:00:00.002382000,0 days 00:00:00.001184000
d1_mammography,e6_SVC,r1,test0,0 days 00:00:00.002382000,0 days 00:00:00.000565000
d1_mammography,e6_SVC,r1,test1,0 days 00:00:00.002382000,0 days 00:00:00.000522000
d1_mammography,e7_GaussianProcessClassifier,r0,train,0 days 00:00:00.194325000,0 days 00:00:00.016172000
d1_mammography,e7_GaussianProcessClassifier,r0,test0,0 days 00:00:00.194325000,0 days 00:00:00.006214000
d1_mammography,e7_GaussianProcessClassifier,r0,test1,0 days 00:00:00.194325000,0 days 00:00:00.005871000
d1_mammography,e7_GaussianProcessClassifier,r1,train,0 days 00:00:00.190471000,0 days 00:00:00.016311000
d1_mammography,e7_GaussianProcessClassifier,r1,test0,0 days 00:00:00.190471000,0 days 00:00:00.007010000
