mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,param_max_iter,param_random_state,param_tol,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.7644355773925782,0.162406587600708,0.8385,1.0,100,0.73,5,0.3,-1,12345,1e-05,2,0.8379052369077307,1.0,0.8379052369077307,1.0,0.8375,1.0,0.8395989974937343,1.0,0.8395989974937343,1.0,0.025206337429413157,0.006533741140107161,0.0009076130224433446,0.0
0.006799125671386718,0.0014017105102539062,0.1615,0.16149989423823993,1,4.2,3,0.3,-1,12345,100,15,0.16209476309226933,0.16135084427767354,0.16209476309226933,0.16135084427767354,0.1625,0.16125,0.16040100250626566,0.1617738913179263,0.16040100250626566,0.1617738913179263,0.0004980621889947094,5.1769979906303105e-05,0.0009076130224433507,0.00022672790350925594
0.006318283081054687,0.00120849609375,0.1615,0.16149989423823993,500,0.73,6,0.15,-1,12345,50,15,0.16209476309226933,0.16135084427767354,0.16209476309226933,0.16135084427767354,0.1625,0.16125,0.16040100250626566,0.1617738913179263,0.16040100250626566,0.1617738913179263,0.0008008992368115874,0.00020894003129842765,0.0009076130224433507,0.00022672790350925594
0.8130500793457032,0.16131072044372557,0.8335,1.0,100,0.73,5,auto,-1,12345,1e-05,12,0.8379052369077307,1.0,0.8379052369077307,1.0,0.83,1.0,0.8320802005012531,1.0,0.8295739348370927,1.0,0.006367060041416304,0.008600410491942313,0.003702580146920988,0.0
0.38274269104003905,0.09106740951538086,0.8385,1.0,10,0.0,2,0.2,-1,12345,1,2,0.8379052369077307,1.0,0.8379052369077307,1.0,0.8375,1.0,0.8395989974937343,1.0,0.8395989974937343,1.0,0.005990735670310555,0.0057837320191153115,0.0009076130224433446,0.0
0.006033945083618164,0.0011306285858154296,0.1615,0.16149989423823993,500,1.0,3,0.001,50000,12345,50,15,0.16209476309226933,0.16135084427767354,0.16209476309226933,0.16135084427767354,0.1625,0.16125,0.16040100250626566,0.1617738913179263,0.16040100250626566,0.1617738913179263,0.0007715167368376074,0.00015447679751024788,0.0009076130224433507,0.00022672790350925594
0.006415176391601563,0.0013430118560791016,0.1615,0.16149989423823993,10,0.73,5,0.2,-1,12345,100,15,0.16209476309226933,0.16135084427767354,0.16209476309226933,0.16135084427767354,0.1625,0.16125,0.16040100250626566,0.1617738913179263,0.16040100250626566,0.1617738913179263,0.0007777676752758297,6.383654672780575e-05,0.0009076130224433507,0.00022672790350925594
0.006140899658203125,0.0011948585510253907,0.1615,0.16149989423823993,200,2.0,5,0.2,50000,12345,10,15,0.16209476309226933,0.16135084427767354,0.16209476309226933,0.16135084427767354,0.1625,0.16125,0.16040100250626566,0.1617738913179263,0.16040100250626566,0.1617738913179263,0.0013276032423048434,0.0002386350888419699,0.0009076130224433507,0.00022672790350925594
0.8714512348175049,0.16868267059326172,0.8385,1.0,500,0.73,6,0.05,-1,12345,1e-05,2,0.8379052369077307,1.0,0.8379052369077307,1.0,0.8375,1.0,0.8395989974937343,1.0,0.8395989974937343,1.0,0.015017208684382723,0.009709510607423215,0.0009076130224433446,0.0
0.8693654060363769,0.16823391914367675,0.8385,1.0,10,0.73,3,0.05,50000,12345,1e-05,2,0.8379052369077307,1.0,0.8379052369077307,1.0,0.8375,1.0,0.8395989974937343,1.0,0.8395989974937343,1.0,0.01574674696365649,0.005527651339467737,0.0009076130224433446,0.0
