mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_iter_predict,param_multi_class,param_n_restarts_optimizer,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.07453889846801758,0.002963876724243164,0.8629629629629629,1.0,150,one_vs_one,12,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.014299826455467169,1.7573632760687938e-05,0.02353936778857143,0.0
0.060374212265014646,0.00321044921875,0.8629629629629629,1.0,100,one_vs_one,7,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0009341238274021596,0.0005338014814393574,0.02353936778857143,0.0
0.06778960227966309,0.0035066127777099608,0.8629629629629629,1.0,100,one_vs_rest,2,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.005967626654327235,0.0003021526503727723,0.02353936778857143,0.0
0.06878223419189453,0.0034376144409179687,0.8629629629629629,1.0,150,one_vs_rest,8,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0010768997955832211,5.219496213343924e-05,0.02353936778857143,0.0
0.06842255592346191,0.0034462928771972655,0.8629629629629629,1.0,200,one_vs_rest,8,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0009884218384453012,5.282215139894958e-05,0.02353936778857143,0.0
0.06935153007507325,0.003448772430419922,0.8629629629629629,1.0,80,one_vs_one,5,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.00228289012089386,5.615846261085522e-05,0.02353936778857143,0.0
0.06876959800720214,0.003455924987792969,0.8629629629629629,1.0,100,one_vs_one,5,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0008423262819109911,3.531828249545253e-05,0.02353936778857143,0.0
0.06890673637390136,0.0034835338592529297,0.8629629629629629,1.0,150,one_vs_one,5,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0007776544285976918,8.161538447916725e-05,0.02353936778857143,0.0
0.06952390670776368,0.0034321308135986327,0.8629629629629629,1.0,150,one_vs_one,3,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0012506702167265269,3.0557263915404856e-05,0.02353936778857143,0.0
0.06915030479431153,0.0034316062927246095,0.8629629629629629,1.0,80,one_vs_rest,5,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0009743560277885142,4.581395235439786e-05,0.02353936778857143,0.0
0.06892766952514648,0.00346832275390625,0.8629629629629629,1.0,150,one_vs_one,2,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0008476169875008884,5.502345438941315e-05,0.02353936778857143,0.0
0.06883115768432617,0.0034440994262695313,0.8629629629629629,1.0,200,one_vs_one,2,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.0010457621091576397,3.577346642300225e-05,0.02353936778857143,0.0
0.06903963088989258,0.003446626663208008,0.8629629629629629,1.0,100,one_vs_one,8,12345,1,0.8623853211009175,1.0,0.8333333333333334,1.0,0.8425925925925926,1.0,0.8981481481481481,1.0,0.8785046728971962,1.0,0.001404880714861372,2.962628827398029e-05,0.02353936778857143,0.0
