mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_metric,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0017744064331054687,0.003944683074951172,0.7604166666666666,1.0,brute,euclidean,17,distance,17,0.7987012987012987,1.0,0.8246753246753247,1.0,0.7402597402597403,1.0,0.6993464052287581,1.0,0.738562091503268,1.0,0.0002616210686571998,0.001235519209581294,0.04518314481158178,0.0
0.0018063068389892578,0.003374671936035156,0.7486979166666666,0.78482561372845,brute,manhattan,9,uniform,33,0.7662337662337663,0.7931596091205212,0.7857142857142857,0.7752442996742671,0.7727272727272727,0.7703583061889251,0.6993464052287581,0.7951219512195122,0.7189542483660131,0.7902439024390244,2.7200373112730467e-05,5.876011501119308e-05,0.033371508828867726,0.010059149704862063
0.0018233776092529297,0.00305023193359375,0.7682291666666666,1.0,brute,l1,17,distance,1,0.7597402597402597,1.0,0.8311688311688312,1.0,0.7337662337662337,1.0,0.7581699346405228,1.0,0.7581699346405228,1.0,0.0007664230121521006,0.0003804243067991895,0.0329737446468061,0.0
0.0013173580169677734,0.0018531322479248048,0.76171875,0.7900352215248537,kd_tree,manhattan,15,uniform,15,0.7337662337662337,0.7866449511400652,0.8181818181818182,0.7899022801302932,0.7402597402597403,0.7817589576547231,0.7712418300653595,0.7934959349593496,0.7450980392156863,0.7983739837398374,6.331826523240241e-05,8.996245436634722e-05,0.031006290616880074,0.005683654512690401
0.0012739181518554687,0.0018419265747070313,0.7239583333333334,1.0,ball_tree,l1,4,distance,52,0.7532467532467533,1.0,0.7402597402597403,1.0,0.7012987012987013,1.0,0.7254901960784313,1.0,0.6993464052287581,1.0,1.6750767458357424e-05,6.78686198441483e-05,0.02119899815043782,0.0
0.0012525081634521484,0.0016766071319580078,0.7395833333333334,1.0,kd_tree,l1,7,distance,44,0.7532467532467533,1.0,0.7987012987012987,1.0,0.7402597402597403,1.0,0.6862745098039216,1.0,0.7189542483660131,1.0,5.523083585956673e-06,0.00018051416158490155,0.0372727667917783,0.0
0.0013434886932373047,0.0023374557495117188,0.7669270833333334,0.7851524059214533,ball_tree,cityblock,17,uniform,5,0.7402597402597403,0.7752442996742671,0.8311688311688312,0.7850162866449512,0.7402597402597403,0.7833876221498371,0.7712418300653595,0.7853658536585366,0.7516339869281046,0.7967479674796748,5.7312970082331246e-05,0.00010101196178118007,0.03410354045079501,0.006867403692961342
0.0012985706329345704,0.0019548416137695314,0.7682291666666666,1.0,kd_tree,l1,17,distance,1,0.7597402597402597,1.0,0.8311688311688312,1.0,0.7337662337662337,1.0,0.7581699346405228,1.0,0.7581699346405228,1.0,4.114322764879173e-05,4.6245190820921315e-05,0.0329737446468061,0.0
0.0012952327728271485,0.0018651962280273437,0.7395833333333334,0.805008341940097,ball_tree,manhattan,4,uniform,44,0.7467532467532467,0.8013029315960912,0.7662337662337663,0.8013029315960912,0.7402597402597403,0.7980456026058632,0.7254901960784313,0.8146341463414634,0.7189542483660131,0.8097560975609757,5.48446897598942e-05,0.0001487025985976104,0.016648320636504003,0.006182833727027846
0.0013004302978515624,0.002495479583740234,0.765625,1.0,ball_tree,manhattan,20,distance,9,0.7402597402597403,1.0,0.8441558441558441,1.0,0.7337662337662337,1.0,0.7450980392156863,1.0,0.7647058823529411,1.0,1.3900109871675147e-05,5.471597828338678e-05,0.04066054937132862,0.0
0.0012684345245361328,0.0016823291778564453,0.75,1.0,kd_tree,manhattan,9,distance,31,0.7662337662337663,1.0,0.7987012987012987,1.0,0.7727272727272727,1.0,0.7058823529411765,1.0,0.7058823529411765,1.0,2.2319544808879838e-05,3.5798182455435057e-05,0.037516972646621585,0.0
0.0012777328491210937,0.0019904136657714843,0.7682291666666666,1.0,kd_tree,cityblock,17,distance,1,0.7597402597402597,1.0,0.8311688311688312,1.0,0.7337662337662337,1.0,0.7581699346405228,1.0,0.7581699346405228,1.0,1.5524253719560866e-05,8.024938458788501e-05,0.0329737446468061,0.0
0.001272296905517578,0.0014984607696533203,0.7473958333333334,0.8111972670215302,kd_tree,manhattan,5,uniform,37,0.7337662337662337,0.8110749185667753,0.8051948051948052,0.8127035830618893,0.7597402597402597,0.8078175895765473,0.7189542483660131,0.8211382113821138,0.7189542483660131,0.8032520325203252,4.053861885972474e-05,5.98706983308819e-05,0.03255758033333726,0.005927146072931034
0.00128326416015625,0.002325296401977539,0.7630208333333334,1.0,ball_tree,l1,15,distance,14,0.7532467532467533,1.0,0.8246753246753247,1.0,0.7337662337662337,1.0,0.7450980392156863,1.0,0.7581699346405228,1.0,1.3362164958514484e-05,5.0392686911770616e-05,0.031963817873234567,0.0
0.0011509895324707032,0.002325296401977539,0.75,1.0,brute,l1,9,distance,31,0.7662337662337663,1.0,0.7987012987012987,1.0,0.7727272727272727,1.0,0.7058823529411765,1.0,0.7058823529411765,1.0,1.3799967231998541e-05,6.488122601946155e-05,0.037516972646621585,0.0
0.0016765594482421875,0.0033819198608398436,0.7604166666666666,0.782222398771219,brute,l2,17,uniform,17,0.7792207792207793,0.7866449511400652,0.8246753246753247,0.7703583061889251,0.7337662337662337,0.7768729641693811,0.7320261437908496,0.7869918699186992,0.7320261437908496,0.7902439024390244,0.0002476416951874562,4.787226592166327e-05,0.036911476162237895,0.007429999851077124
