mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_metric,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0023700714111328123,0.0027096748352050783,0.6329331046312179,1.0,ball_tree,l2,2,distance,28,0.5932203389830508,1.0,0.6495726495726496,1.0,0.6206896551724138,1.0,0.6206896551724138,1.0,0.6810344827586207,1.0,0.0007132335592094294,0.0005073228356363876,0.02991308077866524,0.0
0.0013547897338867187,0.014787530899047852,0.6809605488850772,0.8336222193696223,brute,euclidean,2,uniform,6,0.6864406779661016,0.8365591397849462,0.6581196581196581,0.8347639484978541,0.6724137931034483,0.8351177730192719,0.6724137931034483,0.8372591006423983,0.7155172413793104,0.8244111349036403,5.558960146137409e-05,0.0031765399470946106,0.019428076521161543,0.0046954597235820015
0.0017935276031494141,0.006895542144775391,0.6740994854202401,0.8387678467438311,kd_tree,l1,2,uniform,10,0.6694915254237288,0.8408602150537634,0.6495726495726496,0.8412017167381974,0.6810344827586207,0.8458244111349036,0.6379310344827587,0.841541755888651,0.7327586206896551,0.8244111349036403,0.00010724412217972892,0.0066937646812011585,0.0328559816505089,0.007401440077515039
0.0018609046936035156,0.0021749019622802736,0.6861063464837049,0.761569599373403,kd_tree,euclidean,9,uniform,2,0.6440677966101694,0.7483870967741936,0.6923076923076923,0.7682403433476395,0.646551724137931,0.7687366167023555,0.6982758620689655,0.7665952890792291,0.75,0.7558886509635975,0.00013742066350958462,9.932546620137736e-05,0.03896739992419937,0.008089178811172361
0.0063556194305419925,0.010402107238769531,0.6861063464837049,0.761569599373403,brute,euclidean,9,uniform,2,0.6440677966101694,0.7483870967741936,0.6923076923076923,0.7682403433476395,0.646551724137931,0.7687366167023555,0.6982758620689655,0.7665952890792291,0.75,0.7558886509635975,0.005926156685851946,0.005418703903832191,0.03896739992419937,0.008089178811172361
0.0015562057495117187,0.0055752754211425785,0.6569468267581475,1.0,brute,l1,3,distance,18,0.6271186440677966,1.0,0.6837606837606838,1.0,0.6724137931034483,1.0,0.6293103448275862,1.0,0.6724137931034483,1.0,0.00010703495617412683,0.004813854322683216,0.023906859363350096,0.0
0.0016518592834472655,0.005736160278320313,0.6500857632933105,0.8254676773567031,ball_tree,manhattan,3,uniform,22,0.6271186440677966,0.8172043010752689,0.6666666666666666,0.8326180257510729,0.6724137931034483,0.828693790149893,0.6120689655172413,0.8372591006423983,0.6724137931034483,0.8115631691648822,8.474317993199873e-05,0.0038019996896338265,0.02545381074612892,0.009614485785965549
0.009083127975463868,0.010645151138305664,0.6861063464837049,0.761569599373403,brute,l2,9,uniform,2,0.6440677966101694,0.7483870967741936,0.6923076923076923,0.7682403433476395,0.646551724137931,0.7687366167023555,0.6982758620689655,0.7665952890792291,0.75,0.7558886509635975,0.009843551100038699,0.002152191806834726,0.03896739992419937,0.008089178811172361
0.0015372753143310547,0.01601386070251465,0.6552315608919382,1.0,brute,euclidean,3,distance,21,0.5932203389830508,1.0,0.6581196581196581,1.0,0.6724137931034483,1.0,0.6637931034482759,1.0,0.6896551724137931,1.0,6.880256240482503e-05,0.002190647759709448,0.033001371248512164,0.0
0.003183317184448242,0.009014177322387695,0.6569468267581475,1.0,ball_tree,manhattan,3,distance,18,0.6271186440677966,1.0,0.6837606837606838,1.0,0.6724137931034483,1.0,0.6293103448275862,1.0,0.6724137931034483,1.0,0.002339420823303712,0.00768386227490084,0.023906859363350096,0.0
0.001495504379272461,0.0020467281341552735,0.6415094339622641,1.0,brute,cityblock,2,distance,26,0.6186440677966102,1.0,0.6068376068376068,1.0,0.646551724137931,1.0,0.6724137931034483,1.0,0.6637931034482759,1.0,0.0003097708511027251,0.0004952753243099364,0.02531729592278712,0.0
0.00419464111328125,0.004297208786010742,0.6586620926243568,1.0,kd_tree,manhattan,4,distance,17,0.6271186440677966,1.0,0.6666666666666666,1.0,0.6551724137931034,1.0,0.6724137931034483,1.0,0.6724137931034483,1.0,0.00307814443495896,0.0037686704402062066,0.01708576216456206,0.0
0.005840873718261719,0.011144685745239257,0.6809605488850772,0.7774412157689228,brute,l2,7,uniform,6,0.635593220338983,0.7806451612903226,0.6837606837606838,0.7639484978540773,0.6724137931034483,0.7987152034261242,0.6810344827586207,0.7901498929336188,0.7327586206896551,0.7537473233404711,0.0053044983515259615,0.007652221815056134,0.03108917836144107,0.016539723505306587
0.004644775390625,0.010007095336914063,0.6329331046312179,1.0,ball_tree,l2,1,uniform,28,0.5932203389830508,1.0,0.6495726495726496,1.0,0.6206896551724138,1.0,0.6206896551724138,1.0,0.6810344827586207,1.0,0.005715151697811272,0.009214530542736219,0.02991308077866524,0.0
0.0018685340881347656,0.007290458679199219,0.6809605488850772,0.7774412157689228,ball_tree,l2,7,uniform,6,0.635593220338983,0.7806451612903226,0.6837606837606838,0.7639484978540773,0.6724137931034483,0.7987152034261242,0.6810344827586207,0.7901498929336188,0.7327586206896551,0.7537473233404711,0.00017521695254768194,0.005631179210899287,0.03108917836144107,0.016539723505306587
0.0017542362213134766,0.0026538848876953127,0.6672384219554031,0.7855773140425103,ball_tree,l1,4,uniform,11,0.6864406779661016,0.7655913978494624,0.6495726495726496,0.7918454935622318,0.6896551724137931,0.7965738758029979,0.6293103448275862,0.7944325481798715,0.6810344827586207,0.7794432548179872,0.0002702467347948534,0.0005861721463052182,0.02369268820532292,0.011624914152944553
