mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_metric,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.005940532684326172,0.018906879425048827,0.9575,1.0,ball_tree,l2,2,distance,7,0.9727047146401985,1.0,0.9526184538653366,1.0,0.9475,1.0,0.9548872180451128,1.0,0.9596977329974811,1.0,0.0013420619183513909,0.003435395186970964,0.008583817995061744,0.0
0.004058933258056641,0.02358694076538086,0.9445,0.9826240368144937,brute,euclidean,2,uniform,19,0.9503722084367245,0.9830932999373826,0.940149625935162,0.9799874921826142,0.9425,0.981875,0.9598997493734336,0.9837601499063086,0.929471032745592,0.9844042420461634,0.00030676189644793386,0.015222910599354942,0.010182826276876835,0.0015615706995279009
0.006683969497680664,0.03303484916687012,0.9555,0.9859992761212416,kd_tree,l1,2,uniform,10,0.9528535980148883,0.9862241703193487,0.9526184538653366,0.9843652282676673,0.96,0.985625,0.9649122807017544,0.9862585883822611,0.947103274559194,0.9875233936369308,0.0028825123337925113,0.015113692643457213,0.006228576029402329,0.0010247877295704094
0.00699162483215332,0.027521419525146484,0.9095,0.9377498208477888,kd_tree,euclidean,9,uniform,27,0.9354838709677419,0.9342517219787101,0.9052369077306733,0.9399624765478424,0.9175,0.941875,0.8822055137844611,0.9369144284821986,0.906801007556675,0.9357454772301934,0.0035172900840276223,0.016626066229749523,0.017394258156162797,0.0027880070919762403
0.004894113540649414,0.05428590774536133,0.9095,0.9377498208477888,brute,euclidean,9,uniform,27,0.9354838709677419,0.9342517219787101,0.9052369077306733,0.9399624765478424,0.9175,0.941875,0.8822055137844611,0.9369144284821986,0.906801007556675,0.9357454772301934,0.0006342135799043359,0.01913959991319024,0.017394258156162797,0.0027880070919762403
0.004720020294189453,0.02451772689819336,0.963,1.0,brute,l1,3,distance,3,0.967741935483871,1.0,0.9625935162094763,1.0,0.96,1.0,0.9674185463659147,1.0,0.9571788413098237,1.0,0.0001646122676284838,0.011759195094448924,0.004121328095628767,0.0
0.008732271194458009,0.04116525650024414,0.9535,0.9813755962906805,ball_tree,manhattan,3,uniform,11,0.9602977667493796,0.9824671258609894,0.9476309226932669,0.9799874921826142,0.955,0.984375,0.9573934837092731,0.9787632729544035,0.947103274559194,0.9812850904553961,0.005209456505753852,0.015188561817139278,0.005273915369561983,0.0019466441353594673
0.00475764274597168,0.03466529846191406,0.9095,0.9377498208477888,brute,l2,9,uniform,27,0.9354838709677419,0.9342517219787101,0.9052369077306733,0.9399624765478424,0.9175,0.941875,0.8822055137844611,0.9369144284821986,0.906801007556675,0.9357454772301934,0.00046783297709439357,0.00896024681572637,0.017394258156162797,0.0027880070919762403
0.003802967071533203,0.01934342384338379,0.9475,1.0,brute,euclidean,3,distance,18,0.9528535980148883,1.0,0.9501246882793017,1.0,0.9425,1.0,0.9473684210526315,1.0,0.9445843828715366,1.0,0.0007094932392084348,0.004306041121384699,0.003721196504621858,0.0
0.008453369140625,0.03840460777282715,0.963,1.0,ball_tree,manhattan,3,distance,3,0.967741935483871,1.0,0.9625935162094763,1.0,0.96,1.0,0.9674185463659147,1.0,0.9571788413098237,1.0,0.004723022796223821,0.02114525849515151,0.004121328095628767,0.0
0.0041121959686279295,0.020594072341918946,0.97,1.0,brute,cityblock,2,distance,1,0.9776674937965261,1.0,0.9675810473815462,1.0,0.96,1.0,0.974937343358396,1.0,0.9697732997481109,1.0,0.0010403931327858866,0.012311520805328737,0.0061557253557105755,0.0
0.008044195175170899,0.03261895179748535,0.9625,1.0,kd_tree,manhattan,4,distance,6,0.967741935483871,1.0,0.9576059850374065,1.0,0.96,1.0,0.9649122807017544,1.0,0.9622166246851386,1.0,0.005390391536636623,0.010732719667295498,0.003572939474167453,0.0
0.007217216491699219,0.050662899017333986,0.9225,0.9496226570694258,brute,l2,7,uniform,24,0.9454094292803971,0.9467752035065748,0.912718204488778,0.9499687304565353,0.92,0.9525,0.9047619047619048,0.943785134291068,0.929471032745592,0.9550842170929508,0.00458720130971438,0.008021894560829568,0.014092801369761071,0.004010291036830004
0.00583033561706543,0.024488067626953124,0.9575,1.0,ball_tree,l2,1,uniform,7,0.9727047146401985,1.0,0.9526184538653366,1.0,0.9475,1.0,0.9548872180451128,1.0,0.9596977329974811,1.0,0.0017970926845795245,0.0026890248762554718,0.008583817995061744,0.0
0.005564737319946289,0.029863691329956053,0.9225,0.9496226570694258,ball_tree,l2,7,uniform,24,0.9454094292803971,0.9467752035065748,0.912718204488778,0.9499687304565353,0.92,0.9525,0.9047619047619048,0.943785134291068,0.929471032745592,0.9550842170929508,0.001354270881958489,0.010485993759125602,0.014092801369761071,0.004010291036830004
0.006269645690917969,0.027790164947509764,0.9515,0.9736268358455794,ball_tree,l1,4,uniform,15,0.9553349875930521,0.9774577332498434,0.9476309226932669,0.9724828017510945,0.9525,0.974375,0.9548872180451128,0.9706433479075578,0.947103274559194,0.9731752963194011,0.0008623184315895617,0.005328294139292695,0.0035058633894773585,0.0022649250209807086
0.004483175277709961,0.023643016815185547,0.942,0.9545029739828894,brute,cityblock,9,uniform,20,0.9553349875930521,0.9561678146524734,0.9376558603491272,0.9580988117573483,0.94,0.955625,0.9373433583959899,0.9525296689569019,0.9395465994962217,0.950093574547723,0.0006072465775037958,0.003787248001655128,0.006777586841487675,0.0028389231142400616
0.00578455924987793,0.023267316818237304,0.9535,0.9813755962906805,kd_tree,l1,3,uniform,11,0.9602977667493796,0.9824671258609894,0.9476309226932669,0.9799874921826142,0.955,0.984375,0.9573934837092731,0.9787632729544035,0.947103274559194,0.9812850904553961,0.0011683529731497987,0.0066819556005307465,0.005273915369561983,0.0019466441353594673
0.0065536975860595705,0.028064537048339843,0.9535,0.9813755962906805,ball_tree,l1,3,uniform,11,0.9602977667493796,0.9824671258609894,0.9476309226932669,0.9799874921826142,0.955,0.984375,0.9573934837092731,0.9787632729544035,0.947103274559194,0.9812850904553961,0.0014789825419112674,0.006357412819090372,0.005273915369561983,0.0019466441353594673
0.0066468238830566405,0.04304184913635254,0.9335,0.9648731493606995,brute,l2,4,uniform,23,0.9454094292803971,0.9643080776455855,0.9251870324189526,0.9599749843652282,0.9375,0.9675,0.924812030075188,0.9650218613366646,0.9345088161209067,0.96756082345602,0.003146131276898605,0.016887975110923714,0.007803571677875183,0.00277335096739407
0.006556177139282226,0.02930283546447754,0.9515,0.9736268358455794,kd_tree,l1,4,uniform,15,0.9553349875930521,0.9774577332498434,0.9476309226932669,0.9724828017510945,0.9525,0.974375,0.9548872180451128,0.9706433479075578,0.947103274559194,0.9731752963194011,0.0013056674455078033,0.01023577772914232,0.0035058633894773585,0.0022649250209807086
0.0050490379333496095,0.02156095504760742,0.9225,0.9496226570694258,kd_tree,euclidean,7,uniform,24,0.9454094292803971,0.9467752035065748,0.912718204488778,0.9499687304565353,0.92,0.9525,0.9047619047619048,0.943785134291068,0.929471032745592,0.9550842170929508,0.0014781606685545048,0.008115576313436648,0.014092801369761071,0.004010291036830004
0.0063858509063720705,0.014278984069824219,0.9575,1.0,kd_tree,euclidean,1,distance,7,0.9727047146401985,1.0,0.9526184538653366,1.0,0.9475,1.0,0.9548872180451128,1.0,0.9596977329974811,1.0,0.0006953251376551858,0.004319701715734909,0.008583817995061744,0.0
0.004597234725952149,0.02250843048095703,0.942,0.9545029739828894,kd_tree,l1,9,uniform,20,0.9553349875930521,0.9561678146524734,0.9376558603491272,0.9580988117573483,0.94,0.955625,0.9373433583959899,0.9525296689569019,0.9395465994962217,0.950093574547723,0.0009553022009302923,0.0042869320997469965,0.006777586841487675,0.0028389231142400616
0.004433774948120117,0.026015663146972658,0.9515,0.9736268358455794,brute,l1,4,uniform,15,0.9553349875930521,0.9774577332498434,0.9476309226932669,0.9724828017510945,0.9525,0.974375,0.9548872180451128,0.9706433479075578,0.947103274559194,0.9731752963194011,0.0009044864691947801,0.002275800543602515,0.0035058633894773585,0.0022649250209807086
0.004013967514038086,0.014677000045776368,0.97,1.0,brute,manhattan,2,distance,1,0.9776674937965261,1.0,0.9675810473815462,1.0,0.96,1.0,0.974937343358396,1.0,0.9697732997481109,1.0,0.0009950920584106588,0.002842006368355387,0.0061557253557105755,0.0
0.006402015686035156,0.029796504974365236,0.9535,1.0,ball_tree,cityblock,7,distance,11,0.9627791563275434,1.0,0.9526184538653366,1.0,0.9525,1.0,0.949874686716792,1.0,0.9496221662468514,1.0,0.0012233980520263397,0.004795528467094971,0.004828300548463443,0.0
0.005163383483886719,0.025644779205322266,0.963,1.0,kd_tree,cityblock,3,distance,3,0.967741935483871,1.0,0.9625935162094763,1.0,0.96,1.0,0.9674185463659147,1.0,0.9571788413098237,1.0,0.0013335303738972208,0.006752175275987053,0.004121328095628767,0.0
0.005268526077270508,0.021982860565185548,0.9095,0.9377498208477888,ball_tree,euclidean,9,uniform,27,0.9354838709677419,0.9342517219787101,0.9052369077306733,0.9399624765478424,0.9175,0.941875,0.8822055137844611,0.9369144284821986,0.906801007556675,0.9357454772301934,0.0013853157647993849,0.006389868189408337,0.017394258156162797,0.0027880070919762403
0.0038323402404785156,0.020430660247802733,0.942,0.9545029739828894,kd_tree,cityblock,9,uniform,20,0.9553349875930521,0.9561678146524734,0.9376558603491272,0.9580988117573483,0.94,0.955625,0.9373433583959899,0.9525296689569019,0.9395465994962217,0.950093574547723,8.275274992187099e-05,0.004737555260039268,0.006777586841487675,0.0028389231142400616
