mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_iter_predict,param_multi_class,param_n_restarts_optimizer,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.02683720588684082,0.004646492004394531,0.96,0.9733333333333333,150,one_vs_one,12,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0026909703302639477,0.0008989211304609119,0.024944382578492935,0.008164965809277232
0.03750467300415039,0.0056513786315917965,0.96,0.9733333333333333,100,one_vs_one,7,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.010513928479548825,0.0009126400445525807,0.024944382578492935,0.008164965809277232
0.03644442558288574,0.004646682739257812,0.96,0.9733333333333333,100,one_vs_rest,2,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.00034790612229636725,0.000360312576419379,0.024944382578492935,0.008164965809277232
0.03651580810546875,0.004447793960571289,0.96,0.9733333333333333,150,one_vs_rest,8,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0006026391420339708,4.0297282261971484e-05,0.024944382578492935,0.008164965809277232
0.03758935928344727,0.004554033279418945,0.96,0.9733333333333333,200,one_vs_rest,8,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.001239431208399539,0.00012128669709516134,0.024944382578492935,0.008164965809277232
0.02624521255493164,0.004415273666381836,0.96,0.9733333333333333,80,one_vs_one,5,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0002698848440834994,5.360570163349334e-05,0.024944382578492935,0.008164965809277232
0.02626457214355469,0.004384231567382812,0.96,0.9733333333333333,100,one_vs_one,5,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0004824036556712919,2.9995824143427554e-05,0.024944382578492935,0.008164965809277232
0.026385784149169922,0.004357337951660156,0.96,0.9733333333333333,150,one_vs_one,5,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.000597666160937008,3.9444262560674195e-05,0.024944382578492935,0.008164965809277232
0.02639036178588867,0.004397392272949219,0.96,0.9733333333333333,150,one_vs_one,3,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0004493272343610022,2.7975349700684794e-05,0.024944382578492935,0.008164965809277232
0.03861551284790039,0.004800844192504883,0.96,0.9733333333333333,80,one_vs_rest,5,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0033711705659564884,0.0005894760081012015,0.024944382578492935,0.008164965809277232
0.026354312896728516,0.004393529891967773,0.96,0.9733333333333333,150,one_vs_one,2,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,6.095034697382163e-05,1.099975579957853e-05,0.024944382578492935,0.008164965809277232
0.026332950592041014,0.0044077873229980465,0.96,0.9733333333333333,200,one_vs_one,2,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.0004518651064339101,2.027629120400066e-05,0.024944382578492935,0.008164965809277232
0.026428890228271485,0.004401445388793945,0.96,0.9733333333333333,100,one_vs_one,8,12345,1,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9833333333333333,0.9333333333333333,0.9666666666666667,0.00046478260761016786,3.2648201376344267e-05,0.024944382578492935,0.008164965809277232
