mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,param_max_iter,param_random_state,param_tol,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.46425399780273435,0.04322810173034668,0.345,1.0,100,0.73,5,0.3,-1,12345,1e-05,13,0.3349875930521092,1.0,0.34663341645885287,1.0,0.355,1.0,0.3458646616541353,1.0,0.3425692695214106,1.0,0.0371702722543724,0.004720158772247223,0.006485133498926734,0.0
0.007613420486450195,0.0013122081756591797,0.146,0.14599991552721964,1,4.2,3,0.3,-1,12345,100,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.001015003957537275,0.00021015671505697104,0.0007564582244930837,0.00018928123062707057
0.00554509162902832,0.0009575843811035156,0.146,0.14599991552721964,500,0.73,6,0.15,-1,12345,50,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.00030086208177228186,0.00022168372311783847,0.0007564582244930837,0.00018928123062707057
0.5406776428222656,0.0509368896484375,0.6015,1.0,100,0.73,5,auto,-1,12345,1e-05,4,0.56575682382134,1.0,0.6084788029925187,1.0,0.595,1.0,0.6290726817042607,1.0,0.6095717884130982,1.0,0.013162577500798016,0.006712816592740387,0.020982131269002075,0.0
0.33930106163024903,0.04322829246520996,0.4115,1.0,10,0.0,2,0.2,-1,12345,1,10,0.38213399503722084,1.0,0.3940149625935162,1.0,0.42,1.0,0.40100250626566414,1.0,0.4609571788413098,1.0,0.01247165009330575,0.002574272977647308,0.027514215016728485,0.0
0.0070765972137451175,0.00120391845703125,0.146,0.14599991552721964,500,1.0,3,0.001,50000,12345,50,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.001406045375935869,0.0002903779186782138,0.0007564582244930837,0.00018928123062707057
0.007724666595458984,0.0013135910034179688,0.146,0.14599991552721964,10,0.73,5,0.2,-1,12345,100,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.0010676924750163137,0.00021590740010527464,0.0007564582244930837,0.00018928123062707057
0.006099843978881836,0.0010781288146972656,0.146,0.14599991552721964,200,2.0,5,0.2,50000,12345,10,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.001150962440658003,0.00027885056224315695,0.0007564582244930837,0.00018928123062707057
0.5415864944458008,0.05449409484863281,0.616,1.0,500,0.73,6,0.05,-1,12345,1e-05,1,0.575682382133995,1.0,0.6384039900249376,1.0,0.595,1.0,0.6441102756892231,1.0,0.6272040302267002,1.0,0.016278860140828817,0.0046926810523025796,0.026437459031169938,0.0
0.5315431118011474,0.05148801803588867,0.616,1.0,10,0.73,3,0.05,50000,12345,1e-05,1,0.575682382133995,1.0,0.6384039900249376,1.0,0.595,1.0,0.6441102756892231,1.0,0.6272040302267002,1.0,0.018586780920810803,0.003909342052392013,0.026437459031169938,0.0
0.3727119922637939,0.0424407958984375,0.345,1.0,10,2.0,2,0.3,50000,12345,0.01,13,0.3349875930521092,1.0,0.34663341645885287,1.0,0.355,1.0,0.3458646616541353,1.0,0.3425692695214106,1.0,0.01690562776976552,0.0032587525385500953,0.006485133498926734,0.0
0.00681147575378418,0.0012032508850097657,0.146,0.14599991552721964,500,0.73,2,0.15,50000,12345,100,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.001552811757601672,0.0002902650939271249,0.0007564582244930837,0.00018928123062707057
0.00782623291015625,0.0013092517852783202,0.146,0.14599991552721964,200,0.73,3,0.1,-1,12345,50,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.001021029646883043,0.00021791607336622818,0.0007564582244930837,0.00018928123062707057
0.34684171676635744,0.04927239418029785,0.613,1.0,100,1.0,6,0.05,-1,12345,1,3,0.5856079404466501,1.0,0.6234413965087282,1.0,0.605,1.0,0.6365914786967418,1.0,0.6146095717884131,1.0,0.012057196044608648,0.003439953691013975,0.017245204810855414,0.0
0.007392740249633789,0.001296854019165039,0.146,0.14599991552721964,200,1.0,4,0.2,-1,12345,100,15,0.14640198511166252,0.1458985597996243,0.14713216957605985,0.14571607254534083,0.145,0.14625,0.14536340852130325,0.146158650843223,0.14609571788413098,0.14597629444791016,0.0011250134649262301,0.0002060047782436482,0.0007564582244930837,0.00018928123062707057
