mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_iter_predict,param_multi_class,param_n_restarts_optimizer,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.29508285522460936,0.009801626205444336,0.478,1.0,150,one_vs_one,12,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.007710751475093942,0.0015106993245662687,0.0010050498759421398,0.0
0.3044466495513916,0.00939488410949707,0.478,1.0,100,one_vs_one,7,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.018101028603861303,7.132932442754923e-05,0.0010050498759421398,0.0
0.30739631652832033,0.009522771835327149,0.478,1.0,100,one_vs_rest,2,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.017590449442132852,0.00015940614135958418,0.0010050498759421398,0.0
0.3311178207397461,0.009498691558837891,0.478,1.0,150,one_vs_rest,8,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.04815121827599758,0.00012757818936300823,0.0010050498759421398,0.0
0.3086562156677246,0.00945425033569336,0.478,1.0,200,one_vs_rest,8,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.014680940599470053,0.00010775295964521522,0.0010050498759421398,0.0
0.30466351509094236,0.009386348724365234,0.478,1.0,80,one_vs_one,5,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.016254909265077794,8.126225777531765e-05,0.0010050498759421398,0.0
0.30069622993469236,0.009228277206420898,0.478,1.0,100,one_vs_one,5,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.01811790161389302,0.00019147802056953647,0.0010050498759421398,0.0
0.3041632652282715,0.009430789947509765,0.478,1.0,150,one_vs_one,5,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.01610422894517734,6.563150338712984e-05,0.0010050498759421398,0.0
0.3073370933532715,0.009448814392089843,0.478,1.0,150,one_vs_one,3,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.017904252003339144,0.00011747959299446834,0.0010050498759421398,0.0
0.3124810218811035,0.009573745727539062,0.478,1.0,80,one_vs_rest,5,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.014546019671953134,0.0003153494473085511,0.0010050498759421398,0.0
0.3084850788116455,0.00947117805480957,0.478,1.0,150,one_vs_one,2,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.01834329019477237,6.0701763544359216e-05,0.0010050498759421398,0.0
0.30799341201782227,0.009409236907958984,0.478,1.0,200,one_vs_one,2,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.016157501459301605,5.354552203670762e-05,0.0010050498759421398,0.0
0.30652031898498533,0.0095458984375,0.478,1.0,100,one_vs_one,8,12345,1,0.47761194029850745,1.0,0.47761194029850745,1.0,0.48,1.0,0.47738693467336685,1.0,0.47738693467336685,1.0,0.01650878072223291,9.45805752039679e-05,0.0010050498759421398,0.0
