mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_metric,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0013586521148681641,0.0018620014190673829,0.696,0.7205,kd_tree,cityblock,17,uniform,6,0.71,0.72125,0.705,0.715,0.68,0.73,0.69,0.7225,0.695,0.71375,6.849207674466986e-05,3.732005551810629e-05,0.010677078252031288,0.005841660722773963
0.001071786880493164,0.0029532909393310547,0.625,0.81325,brute,cityblock,3,uniform,54,0.63,0.81125,0.64,0.795,0.605,0.8225,0.59,0.815,0.66,0.8225,9.523353714105936e-05,3.48583943826473e-05,0.024899799195977488,0.010111874208078329
0.0011059761047363282,0.003973960876464844,0.685,0.74725,brute,l1,9,uniform,28,0.695,0.74625,0.68,0.73875,0.665,0.755,0.68,0.7475,0.705,0.74875,2.6716671516085454e-05,0.00014410007875691996,0.013784048752090185,0.005208166663999913
0.0013400077819824218,0.0015892505645751954,0.66,1.0,kd_tree,l2,7,distance,49,0.655,1.0,0.685,1.0,0.625,1.0,0.64,1.0,0.695,1.0,7.704906494762257e-05,3.625386359888585e-05,0.0264575131106459,0.0
0.0014020442962646485,0.00414743423461914,0.671,0.7537499999999999,brute,euclidean,4,uniform,39,0.68,0.745,0.69,0.745,0.635,0.76375,0.66,0.76375,0.69,0.75125,0.00024916850005371087,0.00031905140404262097,0.021071307505705458,0.008477912478906608
0.002098274230957031,0.002169227600097656,0.621,0.8115,ball_tree,manhattan,3,uniform,59,0.63,0.80625,0.645,0.79125,0.605,0.82375,0.575,0.8175,0.65,0.81875,8.823232220456468e-05,5.336457605825076e-05,0.027820855486487137,0.011629703349612996
0.0017802715301513672,0.0023550987243652344,0.67,0.7515,kd_tree,cityblock,7,uniform,42,0.69,0.75125,0.685,0.74625,0.635,0.76125,0.645,0.7575,0.695,0.74125,0.00024905342172517193,0.00038993569623958725,0.024899799195977446,0.007262919523166977
0.001301717758178711,0.001626443862915039,0.67,1.0,kd_tree,euclidean,9,distance,42,0.68,1.0,0.68,1.0,0.63,1.0,0.67,1.0,0.69,1.0,1.3572196190137395e-05,3.1572237696164796e-06,0.02097617696340303,0.0
0.0013467788696289063,0.0016438484191894532,0.689,1.0,ball_tree,cityblock,11,distance,21,0.685,1.0,0.71,1.0,0.655,1.0,0.67,1.0,0.725,1.0,2.7474428523328006e-05,3.096116556669241e-05,0.025573423705088815,0.0
0.001410055160522461,0.004571676254272461,0.7,0.714,brute,euclidean,20,uniform,4,0.715,0.71,0.71,0.70875,0.69,0.72,0.69,0.71625,0.695,0.715,0.0002542424630232022,0.0002851807933378576,0.010488088481701524,0.004138236339311718
0.0020647525787353517,0.0028343677520751955,0.701,0.7157500000000001,ball_tree,cityblock,20,uniform,1,0.715,0.70875,0.715,0.7125,0.685,0.72125,0.69,0.7225,0.7,0.71375,8.46654419565943e-05,1.5563748629321047e-05,0.012409673645990838,0.005279678020485716
0.0011675834655761718,0.004476737976074219,0.672,0.7515000000000001,brute,manhattan,7,uniform,38,0.695,0.75375,0.68,0.7425,0.645,0.76,0.645,0.76125,0.695,0.74,6.942090721150909e-05,0.0006078322092031162,0.02271563338320107,0.00878208403512514
0.0014244556427001954,0.0013697147369384766,0.621,0.8115,ball_tree,l1,3,uniform,59,0.63,0.80625,0.645,0.79125,0.605,0.82375,0.575,0.8175,0.65,0.81875,0.0001450039453531883,4.224626525533477e-05,0.027820855486487137,0.011629703349612996
0.0013384819030761719,0.0016921520233154296,0.681,1.0,ball_tree,l2,15,distance,32,0.695,1.0,0.7,1.0,0.635,1.0,0.665,1.0,0.71,1.0,2.8787303362558084e-05,0.00010579023263710053,0.027459060435491938,0.0
0.0013578414916992187,0.0018556594848632812,0.7,0.714,kd_tree,euclidean,20,uniform,4,0.715,0.71,0.71,0.70875,0.69,0.72,0.69,0.71625,0.695,0.715,4.506739315268609e-05,3.204700473038016e-05,0.010488088481701524,0.004138236339311718
