mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_learning_rate,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.08356232643127441,0.004107809066772461,0.461,0.4837487156169725,SAMME.R,0.9,30,12345,37,0.43564356435643564,0.4849624060150376,0.485,0.5225,0.465,0.46125,0.475,0.4625,0.4444444444444444,0.48753117206982544,0.0009438705355686585,0.00014951370336224056,0.01848634021318032,0.022249234514107333
0.1380941390991211,0.006687545776367187,0.462,0.4787112622578891,SAMME.R,0.75,50,12345,36,0.4158415841584158,0.46616541353383456,0.455,0.41375,0.445,0.4275,0.48,0.5425,0.5151515151515151,0.543640897755611,0.0010722602877348067,0.00028686337172380353,0.033498471827256175,0.055289814477876904
0.08268780708312988,0.003977584838867188,0.423,0.43378736273351703,SAMME.R,0.5,30,12345,40,0.4752475247524752,0.4824561403508772,0.435,0.45375,0.325,0.3575,0.47,0.4675,0.4090909090909091,0.4077306733167082,0.0007003586955659526,2.020090666937963e-05,0.054599688759197684,0.04561230423704098
0.08199796676635743,0.004065036773681641,0.503,0.5082281201757511,SAMME.R,0.85,30,12345,25,0.4306930693069307,0.47619047619047616,0.51,0.54625,0.51,0.4575,0.58,0.54125,0.48484848484848486,0.5199501246882793,0.00018526474278721588,0.00014966436466477893,0.048236413373690154,0.03542108437352296
0.12830376625061035,0.003345775604248047,0.562,0.5807264623528897,SAMME,0.9,50,12345,7,0.5742574257425742,0.5614035087719298,0.575,0.61125,0.52,0.54625,0.55,0.57625,0.5909090909090909,0.6084788029925187,0.00124623738969752,0.00014763077098781064,0.02472296548762404,0.02562779923493841
0.13824052810668946,0.0064373970031738285,0.507,0.5162356389727436,SAMME.R,0.85,50,12345,23,0.44554455445544555,0.49122807017543857,0.505,0.5475,0.515,0.525,0.585,0.4975,0.48484848484848486,0.5199501246882793,0.001418075383033378,3.5574928249225696e-05,0.04572159715544332,0.02022114914468795
0.19304413795471193,0.008864021301269532,0.467,0.4970081141132132,SAMME.R,0.9,70,12345,35,0.43564356435643564,0.5037593984962406,0.435,0.48375,0.525,0.51375,0.495,0.49625,0.4444444444444444,0.48753117206982544,0.0016337088250847624,6.169775334014149e-05,0.03652047062234342,0.010881501194302824
0.2492366313934326,0.011324071884155273,0.492,0.5032538000237501,SAMME.R,0.75,90,12345,27,0.4603960396039604,0.5238095238095238,0.455,0.42375,0.555,0.5275,0.49,0.525,0.5,0.516209476309227,0.0015027052089556616,2.3537891579440707e-05,0.03581663975261104,0.03992998115021565
0.09993600845336914,0.002637815475463867,0.544,0.5454981859261621,SAMME,0.65,40,12345,13,0.5594059405940595,0.5225563909774437,0.56,0.565,0.525,0.55625,0.575,0.5575,0.5,0.5261845386533666,0.0007843934438787182,9.710228810416718e-05,0.027328945957147945,0.017545989430971954
0.0823624610900879,0.004172086715698242,0.485,0.50475753442209,SAMME.R,0.65,30,12345,28,0.49504950495049505,0.5213032581453634,0.525,0.52625,0.515,0.50125,0.43,0.46875,0.4595959595959596,0.5062344139650873,0.0010838349316421268,0.00029026280659129935,0.03540032229064912,0.020232219632107615
0.13838801383972169,0.006759738922119141,0.448,0.46278625335158347,SAMME.R,0.5,50,12345,39,0.5099009900990099,0.5375939849624061,0.415,0.4075,0.365,0.39,0.54,0.51375,0.4090909090909091,0.46508728179551123,0.002792923032661395,0.00035755190360394894,0.0660466926996474,0.057538167158360194
0.10231280326843262,0.00266413688659668,0.567,0.5769858170988569,SAMME,0.9,40,12345,6,0.5495049504950495,0.5626566416040101,0.555,0.60375,0.53,0.53875,0.635,0.58875,0.5656565656565656,0.5910224438902744,0.0012849181207237959,0.00011509039482988043,0.03591079027932757,0.023319722798345124
0.07671990394592285,0.002137279510498047,0.508,0.5407232607703798,SAMME,1,30,12345,22,0.5247524752475248,0.5275689223057645,0.5,0.52125,0.445,0.505,0.58,0.56875,0.4898989898989899,0.5810473815461347,0.000981212762707587,0.00014075507620860822,0.04432791892746199,0.029120194689336208
0.1280853271484375,0.003352928161621094,0.547,0.5777563906649417,SAMME,0.75,50,12345,11,0.5198019801980198,0.5626566416040101,0.53,0.56875,0.565,0.59375,0.615,0.61375,0.5050505050505051,0.5498753117206983,0.0010533666044208268,0.00016176431951632483,0.03930977519450579,0.022968707016874288
0.07735695838928222,0.002145862579345703,0.548,0.5627351967824799,SAMME,0.9,30,12345,10,0.5742574257425742,0.5639097744360902,0.53,0.56375,0.5,0.5225,0.585,0.57,0.5505050505050505,0.5935162094763092,0.001164116712077908,0.00011935126433304352,0.03065798250356859,0.022897723147101354
0.24954800605773925,0.011380147933959962,0.506,0.51348639678998,SAMME.R,0.65,90,12345,24,0.5,0.5451127819548872,0.56,0.545,0.495,0.47,0.42,0.435,0.5555555555555556,0.5723192019950125,0.0030888536638975276,0.00010610665045522148,0.050794794133957405,0.05197271511287575
0.1744143009185791,0.004340028762817383,0.573,0.5722433140207126,SAMME,0.65,70,12345,5,0.5742574257425742,0.568922305764411,0.55,0.58,0.55,0.5675,0.595,0.5625,0.5959595959595959,0.5822942643391521,0.0011071659129430647,7.696299451050888e-05,0.020324706870479967,0.007611150655830414
