mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_learning_rate,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.16005282402038573,0.00848250389099121,0.9835,0.9939997646971737,SAMME.R,0.9,30,12345,45,0.9850374064837906,0.9931207004377736,0.985,0.994375,0.985,0.99375,0.985,0.99375,0.9774436090225563,0.9950031230480949,0.005687977946914362,0.0018445266856327478,0.003023497965457361,0.0006395386294687295
0.29708042144775393,0.0110809326171875,0.984,0.9972499997070312,SAMME.R,0.75,50,12345,40,0.9850374064837906,0.99812382739212,0.98,0.996875,0.9925,0.99625,0.985,0.996875,0.9774436090225563,0.9981261711430356,0.010226272684637267,0.00245523182992348,0.005161544337417341,0.0007500000244143023
0.1718282699584961,0.00793452262878418,0.9875,0.9917499987304682,SAMME.R,0.5,30,12345,1,0.9875311720698254,0.991869918699187,0.9875,0.993125,0.995,0.991875,0.99,0.99,0.9774436090225563,0.9918800749531543,0.013420907293795897,0.0020561520341147456,0.005716277567082695,0.0010000049987719912
0.17379369735717773,0.008527994155883789,0.9855,0.9932496865233149,SAMME.R,0.85,30,12345,10,0.9875311720698254,0.9924953095684803,0.985,0.993125,0.99,0.99125,0.985,0.994375,0.9799498746867168,0.9950031230480949,0.017016298666177494,0.001621752807101952,0.0033350518854388497,0.0013359826030192865
0.26189422607421875,0.008215522766113282,0.984,0.9903743735349115,SAMME,0.9,50,12345,40,0.9825436408977556,0.9881175734834271,0.9825,0.990625,0.99,0.99125,0.99,0.98875,0.974937343358396,0.9931292941911305,0.009004114582358815,0.0024379579240008807,0.005626769949613663,0.0017972678713385475
0.29527931213378905,0.011212348937988281,0.985,0.9977499215331724,SAMME.R,0.85,50,12345,19,0.9875311720698254,0.9974984365228268,0.985,0.996875,0.9925,0.998125,0.985,0.998125,0.974937343358396,0.9981261711430356,0.010548805470976341,0.0029463833638896154,0.005721481716605988,0.0005003326655566496
0.40189328193664553,0.015958690643310548,0.983,0.9998750000000001,SAMME.R,0.9,70,12345,46,0.9825436408977556,1.0,0.9825,1.0,0.99,0.999375,0.9875,1.0,0.9724310776942355,1.0,0.01355950615664494,0.0028798296414839167,0.006018831243651869,0.0002499999999999947
0.522352933883667,0.020050811767578124,0.9855,0.9998750000000001,SAMME.R,0.75,90,12345,10,0.9825436408977556,1.0,0.985,1.0,0.995,0.999375,0.9875,1.0,0.9774436090225563,1.0,0.014739197132669987,0.004128478237536954,0.005796638358251429,0.0002499999999999947
0.21153931617736815,0.006629228591918945,0.9855,0.9879995296873163,SAMME,0.65,40,12345,10,0.9825436408977556,0.9881175734834271,0.985,0.9875,0.9925,0.988125,0.99,0.984375,0.9774436090225563,0.9918800749531543,0.016596788711083364,0.001742022938686182,0.005347991796586072,0.002386422178078751
0.17296247482299804,0.00803680419921875,0.9865,0.9934997646971737,SAMME.R,0.65,30,12345,3,0.9875311720698254,0.9931207004377736,0.9875,0.99375,0.9925,0.993125,0.99,0.9925,0.974937343358396,0.9950031230480949,0.02060259534778638,0.0016225011149173622,0.0060609696446572445,0.0008492787267772666
0.2862874507904053,0.01071162223815918,0.985,0.9947496867186277,SAMME.R,0.5,50,12345,19,0.9850374064837906,0.9937460913070669,0.985,0.995,0.9925,0.994375,0.985,0.994375,0.9774436090225563,0.9962523422860712,0.01913378875303776,0.0031404647767408695,0.004758312720610635,0.0008495427614355931
0.2116997718811035,0.007768964767456055,0.9845,0.989874295361053,SAMME,0.9,40,12345,31,0.9825436408977556,0.9874921826141339,0.985,0.990625,0.99,0.990625,0.99,0.9875,0.974937343358396,0.9931292941911305,0.024001843385174193,0.0017286201626926351,0.0055821626692416785,0.0021463397631424144
0.16559019088745117,0.005451822280883789,0.985,0.9899995298826288,SAMME,1,30,12345,19,0.9825436408977556,0.9893683552220137,0.9825,0.990625,0.99,0.9875,0.99,0.989375,0.9799498746867168,0.9931292941911305,0.008040430003419252,0.0015698054252142135,0.004189004429573707,0.0018559475291693155
0.2648280620574951,0.009403276443481445,0.985,0.989124451611114,SAMME,0.75,50,12345,19,0.9825436408977556,0.9881175734834271,0.985,0.989375,0.99,0.988125,0.99,0.9875,0.9774436090225563,0.9925046845721424,0.0161427507252956,0.0026052702754314036,0.004754052613965453,0.001796680243661583
0.16267633438110352,0.006163358688354492,0.9845,0.9891243733395989,SAMME,0.9,30,12345,31,0.9825436408977556,0.9868667917448405,0.985,0.989375,0.99,0.99,0.99,0.9875,0.974937343358396,0.9918800749531543,0.006058815146218909,0.001596759018092458,0.0055821626692416785,0.0017977035660893858
0.5236190795898438,0.018647003173828124,0.984,0.9995,SAMME.R,0.65,90,12345,40,0.9825436408977556,1.0,0.9825,0.999375,0.99,0.99875,0.9875,0.999375,0.9774436090225563,1.0,0.018482392935376367,0.004283799396674904,0.004370470942169936,0.00046770717334673273
0.37142558097839357,0.011564970016479492,0.985,0.9893745295896601,SAMME,0.65,70,12345,19,0.9825436408977556,0.9874921826141339,0.985,0.990625,0.99,0.98875,0.99,0.98875,0.9774436090225563,0.9912554653341662,0.02134644232705139,0.0029555331225515047,0.004754052613965453,0.001372945743654212
